sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,13760.911228054,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,837.22948827249,1996,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,9619.37864474454,1996,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,474.031713078071,1996,54,20,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,HR,Croatia,country,Europe and Central Asia,45.1,15.2,596.386887545994,1996,93,0,0,0,0,0,0,71,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,1338.80972580906,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,1850.66009666875,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,FR,France,country,Europe and Central Asia,46.227638,2.213749,1547.4013779249,1996,25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,1340.45323015143,1996,65,0,0,0,0,0,0,27,0,0,1,0,11,5,1,20,0,0,0,0,0,0,0,0
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,GR,Greece,country,Europe and Central Asia,39.074208,21.824312,270.989849420756,1996,4731,0,0,0,74,21,136,905,0,55,37,0,41,3313,129,0,0,1,0,19,0,0,0,0
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,671.034562306563,1996,480,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,638.406726311158,1996,3429,0,0,0,383,74,23,241,34,28,11,10,0,24,880,0,0,0,0,1721,0,0,0,0
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,9362.67476048682,1996,161,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,PL,Poland,country,Europe and Central Asia,51.919438,19.145136,1201.0031496064,1996,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,MD,Moldova,country,Europe and Central Asia,47.411631,28.369885,954.238896409336,1996,34,0,0,0,0,0,0,19,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,658.655593007186,1996,37,0,0,0,0,0,7,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,RU,Russian Federation,country,Europe and Central Asia,61.52401,105.318756,5843.88122889427,1996,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,SA,Saudi Arabia,country,Middle East and North Africa,23.885942,45.079162,3007.4272565296,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,694.743085352415,1996,379,0,0,0,0,30,0,45,0,0,0,0,0,0,298,6,0,0,0,0,0,0,0,0
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,2010.35405080444,1996,262,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,60,0,0,0,0
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1143.65973312917,1996,39,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,141.128751671051,1996,7770,0,0,0,0,2,5,7030,8,11,0,0,10,673,24,5,0,0,0,2,0,0,0,0
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,TR,Turkey,country,Europe and Central Asia,38.963745,35.243322,1305.59706041172,1996,795,0,0,0,0,0,0,0,0,0,114,0,0,0,427,0,0,0,0,254,0,0,0,0
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,US,USA,country,North America,37.09024,-95.712891,9157.04399623222,1996,323,0,0,0,0,0,0,0,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,837.22948827249,1997,20,0,0,0,0,18,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,474.031713078071,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,HR,Croatia,country,Europe and Central Asia,45.1,15.2,596.386887545994,1997,39,0,0,0,0,0,0,0,22,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,1850.66009666875,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,FR,France,country,Europe and Central Asia,46.227638,2.213749,1547.4013779249,1997,40,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,30,0,0,0,0
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,1340.45323015143,1997,95,0,0,0,0,0,0,0,0,16,69,0,9,0,1,0,0,0,0,0,0,0,0,0
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,GR,Greece,country,Europe and Central Asia,39.074208,21.824312,270.989849420756,1997,4260,22,0,0,118,79,38,1405,0,30,43,75,5,2411,0,0,35,32,0,2,0,0,0,0
