sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,AL,Albania,country,Europe and Central Asia,41.153332,20.168331,13760.911228054,1986,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,15293.8514405884,1986,8170,0,0,0,0,0,0,0,0,432,0,0,0,21,0,0,0,0,7717,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,WS,Samoa,country,East Asia and Pacific,-13.759029,-172.104629,5783.27833772637,1986,3825,1028,0,52,5,0,0,9,53,0,0,589,15,58,203,149,0,807,857,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,18182.6936563378,1986,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,12719.0207154249,1986,755,0,0,0,0,0,0,0,0,0,0,0,0,755,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,14227.7727615247,1986,2561,0,0,24,0,0,0,0,44,2282,0,0,0,13,0,0,0,198,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,16903.6516681641,1986,445,0,0,0,0,0,0,0,4,0,0,0,0,0,0,31,0,341,69,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,10590.5218068193,1986,32604,24628,31,20,976,0,0,1714,1999,0,0,102,23,45,9,1613,0,852,592,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,BD,Bangladesh,country,South Asia,23.684994,90.356331,7183.84385171473,1986,94203,80725,0,0,0,0,0,0,60,0,0,0,0,794,12113,103,0,0,408,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,18099.1821615314,1986,1655,509,0,0,0,0,0,0,411,0,0,0,0,0,0,10,0,557,168,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,14909.1201288187,1986,82004,9795,0,32094,8304,0,323,825,1104,18653,0,0,0,6148,542,130,0,2539,1,1546,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,15578.4396503243,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,14615.2146989691,1986,790,750,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,BW,Botswana,country,Sub-Saharan Africa,-22.328474,24.684866,10730.5498093791,1986,935,0,0,0,0,0,0,0,0,0,0,0,0,0,935,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,15596.0652868079,1986,175282,144575,0,0,0,0,0,0,0,713,0,0,0,29200,43,0,0,703,0,48,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,BN,Brunei Darussalam,country,,4.535277,114.727669,3905.35554845055,1986,2340,70,32,6,0,0,0,959,587,0,0,4,31,36,4,261,0,316,34,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,13344.8309751771,1986,2548,0,0,0,0,0,2250,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,11244.9364200332,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,CV,Cape Verde,country,Sub-Saharan Africa,16.002082,-24.013197,17508.7858265237,1986,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,5243.58981559437,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,13523.6973296795,1986,1506,1400,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,CA,Canada,country,North America,56.130366,-106.346771,14167.4730667731,1986,168957,39,0,36,945,0,25,2,34468,905,0,11297,5,79057,15,3047,0,38866,207,43,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,16455.1844456248,1986,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,12748.3854928055,1986,6713,6600,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,5715.74799743523,1986,262486,22729,100,173,40,69,1,10673,23342,17361,2,6167,705,135114,3847,1712,48,7547,15799,17105,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,CN,China,country,East Asia and Pacific,35.86166,104.195397,7482.72743517428,1986,5623706,2863294,0,0,0,0,0,0,0,71312,0,0,0,2645631,38818,35,32,62,1632,2922,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,5623.9230835048,1986,678281,374504,26,6339,8812,1,3785,246,1380,81873,2,6451,5,122590,16895,41,9,32627,21357,1347,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,16256.503269955,1986,152229,152229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,CK,Cook Islands,country,East Asia and Pacific,-21.236736,-159.777671,6741.91452002327,1986,1242,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,15715.6293491535,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,15293.2880322565,1986,29,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,16794.0282148374,1986,3961,0,0,0,0,0,0,0,0,0,0,565,0,0,3396,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,12494.4319614218,1986,278,34,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,243,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,14145.608805269,1986,9180,0,0,0,0,0,0,0,0,8199,0,0,0,0,0,0,0,0,0,981,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,KP,"Korea, Dem. Rep.",country,East Asia and Pacific,40.339852,127.510093,7332.94233227634,1986,152753,146664,0,0,0,0,0,0,0,6080,0,0,0,5,0,0,0,0,4,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,14430.692301022,1986,57016,192,0,88,0,0,192,26,1100,78,0,2515,0,51948,0,693,0,165,2,17,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,DJ,Djibouti,country,Middle East and North Africa,11.825138,42.590275,10694.7987264031,1986,3246,3200,0,4,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
