sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AW,Aruba,country,Latin America and the Caribbean,12.52111,-69.968338,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,5708.77806360812,1999,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
AW,Aruba,country,Latin America and the Caribbean,12.52111,-69.968338,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,17169.735785916,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AW,Aruba,country,Latin America and the Caribbean,12.52111,-69.968338,CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,1004.9696656677,1999,5598,0,0,0,0,0,0,5,1,0,0,0,0,15,64,0,0,4864,649,0,0,0,0,0
AW,Aruba,country,Latin America and the Caribbean,12.52111,-69.968338,CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,1301.37547741622,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AW,Aruba,country,Latin America and the Caribbean,12.52111,-69.968338,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,8269.9954914191,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AW,Aruba,country,Latin America and the Caribbean,12.52111,-69.968338,HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,1783.39346094841,1999,58,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,50,0,0,0,0,0,0
AW,Aruba,country,Latin America and the Caribbean,12.52111,-69.968338,NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,7916.83219733317,1999,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,82,0,0,0,0,0
AW,Aruba,country,Latin America and the Caribbean,12.52111,-69.968338,SR,Suriname,country,Latin America and the Caribbean,3.919305,-56.027783,1808.58191534817,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AW,Aruba,country,Latin America and the Caribbean,12.52111,-69.968338,TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,975.092248053578,1999,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
AW,Aruba,country,Latin America and the Caribbean,12.52111,-69.968338,GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,7399.01508124019,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AW,Aruba,country,Latin America and the Caribbean,12.52111,-69.968338,US,USA,country,North America,37.09024,-95.712891,3749.04564461343,1999,268,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,244,18,0,0,0,0,0
AW,Aruba,country,Latin America and the Caribbean,12.52111,-69.968338,VE,Venezuela,country,Latin America and the Caribbean,6.42375,-66.58973,773.427578538679,1999,897,0,0,0,0,0,0,37,0,0,0,0,0,9,0,35,0,736,80,0,0,0,0,0
AW,Aruba,country,Latin America and the Caribbean,12.52111,-69.968338,AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,1014.10925237942,2000,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
AW,Aruba,country,Latin America and the Caribbean,12.52111,-69.968338,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,5708.77806360812,2000,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
AW,Aruba,country,Latin America and the Caribbean,12.52111,-69.968338,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,17169.735785916,2000,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
AW,Aruba,country,Latin America and the Caribbean,12.52111,-69.968338,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,7847.60034063409,2000,1239,1032,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0
AW,Aruba,country,Latin America and the Caribbean,12.52111,-69.968338,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,3582.02864829844,2000,48,0,0,47,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AW,Aruba,country,Latin America and the Caribbean,12.52111,-69.968338,CA,Canada,country,North America,56.130366,-106.346771,5769.38484788689,2000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
AW,Aruba,country,Latin America and the Caribbean,12.52111,-69.968338,CF,Central African Rep.,country,Sub-Saharan Africa,6.611111,20.939444,9957.54487007085,2000,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0
AW,Aruba,country,Latin America and the Caribbean,12.52111,-69.968338,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,5367.74458363385,2000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
AW,Aruba,country,Latin America and the Caribbean,12.52111,-69.968338,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,16125.1166735659,2000,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
AW,Aruba,country,Latin America and the Caribbean,12.52111,-69.968338,CN,China,country,East Asia and Pacific,35.86166,104.195397,14616.6605615734,2000,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
