sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,AF,Afghanistan,country,South Asia,33.93911,67.709953,3772.46838195308,1986,1253,0,0,0,0,0,0,324,21,0,0,0,0,307,0,0,0,601,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,AL,Albania,country,Europe and Central Asia,41.153332,20.168331,474.031713078071,1986,610,500,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,2695.58835240608,1986,3467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3467,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,AO,Angola,country,Sub-Saharan Africa,-11.202692,17.873887,6054.14664638807,1986,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,13344.8309751771,1986,832,0,0,0,0,0,0,278,0,0,0,0,0,0,0,1,0,0,553,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,1009.11700508321,1986,14514,0,120,1471,0,0,0,6711,5622,0,0,0,0,486,0,1,0,0,103,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,1815.92058812445,1986,12769,12223,0,0,0,0,0,151,336,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,CA,Canada,country,North America,56.130366,-106.346771,8139.30509216525,1986,1003,0,0,0,0,0,0,783,0,0,0,0,0,0,0,3,0,0,217,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,9430.27018140777,1986,97431,60000,0,0,0,0,0,1476,5409,0,0,0,0,0,13592,140,0,14615,2199,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,1089.98064856512,1986,169,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1100.59907240002,1986,44303,0,2023,0,0,0,0,10048,26036,0,0,0,0,6186,0,9,0,1,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,5220.21112792217,1986,15,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,1888.68414145945,1986,569,0,541,0,0,0,0,7,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,1835.92432650592,1986,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,2136.31659847169,1986,2719,0,0,0,0,0,0,65,2550,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,FR,France,country,Europe and Central Asia,46.227638,2.213749,1881.61339617372,1986,3712,0,0,106,0,0,0,0,40,0,0,0,0,2799,0,0,0,654,113,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,GR,Greece,country,Europe and Central Asia,39.074208,21.824312,510.641655629305,1986,1385,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,1268,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,4996.67467467095,1986,85,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
