sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,6395.68679765839,2000,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,CN,China,country,East Asia and Pacific,35.86166,104.195397,5169.6671302361,2000,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0
BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,1502.51476516878,2000,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,KW,Kuwait,country,Middle East and North Africa,29.31166,47.481766,488.38321363643,2000,1735,28,0,0,0,0,0,78,416,0,0,0,0,25,0,986,0,23,179,0,0,0,0,0
BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,4769.58515039393,2000,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,0,0,0,0,0,0,0
BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,OM,Oman,country,Middle East and North Africa,21.512583,55.923255,729.218079260173,2000,32,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,4,0,0,0,0,0,0
BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,QA,Qatar,country,Middle East and North Africa,25.354826,51.183884,84.3154243988478,2000,223,0,0,0,0,0,0,0,0,0,0,0,16,0,0,201,0,0,6,0,0,0,0,0
BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,SA,Saudi Arabia,country,Middle East and North Africa,23.885942,45.079162,605.53414198214,2000,8170,1131,0,37,0,0,0,4139,2707,60,13,0,0,0,31,0,0,52,0,0,0,0,0,0
BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,AE,United Arab Emirates,country,Middle East and North Africa,23.424076,53.847818,428.07152930609,2000,341,0,0,0,0,0,0,40,0,96,0,0,0,0,0,144,0,13,5,43,0,0,0,0
BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,5424.2630060903,2000,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,4765.99314985988,2001,61,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,6395.68679765839,2001,225,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,CN,China,country,East Asia and Pacific,35.86166,104.195397,5169.6671302361,2001,936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,936,0,0,0,0
BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,7019.95968944302,2001,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0
BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,IN,India,country,South Asia,20.593684,78.96288,2950.89653763373,2001,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0
BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,1502.51476516878,2001,547,3,0,0,0,0,0,0,0,0,0,0,0,18,0,509,0,17,0,0,0,0,0,0
