sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,1947.56169398322,1986,27,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,4910.54978435473,1986,21085,0,0,0,0,0,0,0,9786,0,0,0,11200,99,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,16256.503269955,1986,447,0,0,0,0,0,0,0,0,0,0,0,445,2,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,9557.1311638795,1986,7182,0,0,0,0,0,0,0,1,0,0,0,7002,179,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,8831.98666634045,1986,92971,0,0,18,0,0,0,0,72166,286,0,0,20424,77,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,2604.40537288749,1986,24,15,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,3237.8371448474,1986,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,10467.7178158384,1986,11287,0,0,0,0,0,0,0,10461,826,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,CA,Canada,country,North America,56.130366,-106.346771,6402.8853720462,1986,13454,0,0,133,0,0,94,0,34,99,0,0,11765,1320,0,9,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,4489.39329192382,1986,10166,0,0,2801,0,0,0,0,122,6931,0,0,312,0,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,16899.0961351163,1986,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,CN,China,country,East Asia and Pacific,35.86166,104.195397,15533.8316717393,1986,9778,0,0,0,0,0,0,0,9778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,16481.4817781166,1986,61,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,1192.59980678012,1986,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,9613.70783843159,1986,38997,0,0,0,0,0,0,0,30110,0,0,0,8822,65,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,9212.52070562434,1986,19355,0,6737,0,0,0,18,0,0,0,0,0,12599,1,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,1859.74847505777,1986,21,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1639.63352101669,1986,417,412,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,833.515933611319,1986,6097,1819,0,44,0,0,0,0,0,3708,0,504,0,6,0,16,18,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,1903.09148217725,1986,36,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,FO,Faroe Islands,country,Europe and Central Asia,61.892635,-6.911806,8401.33632669987,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,10092.2215588093,1986,19404,0,0,0,0,0,0,0,0,57,0,0,19235,112,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,FR,France,country,Europe and Central Asia,46.227638,2.213749,8614.46238844084,1986,98075,0,0,18,0,0,0,0,81182,22,0,0,14014,2829,0,10,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,7832.33346204802,1986,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,GR,Greece,country,Europe and Central Asia,39.074208,21.824312,10224.7545948644,1986,51,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,1638.18764464503,1986,13,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,1921.88282820051,1986,74,0,0,0,0,0,0,0,17,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,2143.46487494141,1986,10,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0
