sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,7921.72528555768,1986,98767,0,0,98767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,AO,Angola,country,Sub-Saharan Africa,-11.202692,17.873887,11051.3821722198,1986,57991,0,0,57991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,7650.27747436683,1986,32132,0,0,32116,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,9430.27018140777,1986,372026,0,0,372026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,CA,Canada,country,North America,56.130366,-106.346771,4513.01019158509,1986,168081,0,0,168025,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0
CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,CN,China,country,East Asia and Pacific,35.86166,104.195397,13646.2194170768,1986,359429,0,0,359429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,8432.13141308532,1986,131935,0,0,130563,0,0,0,0,0,0,0,0,0,23,0,1349,0,0,0,0,0,0,0,0
CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,10651.5631684535,1986,138569,0,0,138569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,FR,France,country,Europe and Central Asia,46.227638,2.213749,7555.22848957059,1986,761,0,0,0,0,0,0,0,0,0,0,0,0,761,0,0,0,0,0,0,0,0,0,0
CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,8807.23539198156,1986,667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667,0,0,0,0,0,0,0,0
