sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
CV,Cape Verde,country,Sub-Saharan Africa,16.002082,-24.013197,PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,3023.29495713428,1986,1875,0,0,0,0,0,0,0,1869,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0
CV,Cape Verde,country,Sub-Saharan Africa,16.002082,-24.013197,FR,France,country,Europe and Central Asia,46.227638,2.213749,4150.98889808128,1998,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
CV,Cape Verde,country,Sub-Saharan Africa,16.002082,-24.013197,NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,4779.12241363511,1998,21,2,0,0,0,0,0,0,16,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
CV,Cape Verde,country,Sub-Saharan Africa,16.002082,-24.013197,PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,3023.29495713428,1998,1718,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1716,0,0,0,0,0,0,0,0
CV,Cape Verde,country,Sub-Saharan Africa,16.002082,-24.013197,US,USA,country,North America,37.09024,-95.712891,7345.13199095978,1998,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
CV,Cape Verde,country,Sub-Saharan Africa,16.002082,-24.013197,FR,France,country,Europe and Central Asia,46.227638,2.213749,4150.98889808128,1999,28,2,0,0,0,0,0,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CV,Cape Verde,country,Sub-Saharan Africa,16.002082,-24.013197,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,4967.72787598703,1999,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV,Cape Verde,country,Sub-Saharan Africa,16.002082,-24.013197,GW,Guinea-Bissau,country,Sub-Saharan Africa,11.803749,-15.180413,1062.45954072356,1999,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV,Cape Verde,country,Sub-Saharan Africa,16.002082,-24.013197,NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,4779.12241363511,1999,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CV,Cape Verde,country,Sub-Saharan Africa,16.002082,-24.013197,PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,3023.29495713428,1999,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CV,Cape Verde,country,Sub-Saharan Africa,16.002082,-24.013197,US,USA,country,North America,37.09024,-95.712891,7345.13199095978,1999,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
CV,Cape Verde,country,Sub-Saharan Africa,16.002082,-24.013197,FR,France,country,Europe and Central Asia,46.227638,2.213749,4150.98889808128,2000,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
CV,Cape Verde,country,Sub-Saharan Africa,16.002082,-24.013197,GW,Guinea-Bissau,country,Sub-Saharan Africa,11.803749,-15.180413,1062.45954072356,2000,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0
CV,Cape Verde,country,Sub-Saharan Africa,16.002082,-24.013197,NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,4779.12241363511,2000,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
CV,Cape Verde,country,Sub-Saharan Africa,16.002082,-24.013197,PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,3023.29495713428,2000,23,0,0,0,0,0,0,0,0,0,0,0,18,0,0,5,0,0,0,0,0,0,0,0
CV,Cape Verde,country,Sub-Saharan Africa,16.002082,-24.013197,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,1040.28616953733,2000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CV,Cape Verde,country,Sub-Saharan Africa,16.002082,-24.013197,US,USA,country,North America,37.09024,-95.712891,7345.13199095978,2000,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
CV,Cape Verde,country,Sub-Saharan Africa,16.002082,-24.013197,FR,France,country,Europe and Central Asia,46.227638,2.213749,4150.98889808128,2001,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CV,Cape Verde,country,Sub-Saharan Africa,16.002082,-24.013197,NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,4779.12241363511,2001,3323,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3321,0,0,0,0,0,0,0,0
CV,Cape Verde,country,Sub-Saharan Africa,16.002082,-24.013197,PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,3023.29495713428,2001,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
CV,Cape Verde,country,Sub-Saharan Africa,16.002082,-24.013197,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,4555.85218208964,2005,38,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV,Cape Verde,country,Sub-Saharan Africa,16.002082,-24.013197,CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,5674.39800188849,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV,Cape Verde,country,Sub-Saharan Africa,16.002082,-24.013197,FR,France,country,Europe and Central Asia,46.227638,2.213749,4150.98889808128,2005,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
CV,Cape Verde,country,Sub-Saharan Africa,16.002082,-24.013197,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,4967.72787598703,2005,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV,Cape Verde,country,Sub-Saharan Africa,16.002082,-24.013197,GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,1692.10114545827,2005,148,77,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0
