sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,AL,Albania,country,Europe and Central Asia,41.153332,20.168331,1031.23074295667,1993,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,275,259,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,2693.92097562623,1993,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,AO,Angola,country,Sub-Saharan Africa,-11.202692,17.873887,6796.78611667264,1993,47,46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,12498.2729791412,1993,218,0,0,0,0,0,0,0,0,0,0,180,0,0,0,14,0,0,24,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,2547.8416974548,1993,19,0,0,0,0,0,0,0,0,0,0,0,2,0,0,17,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,AW,Aruba,country,Latin America and the Caribbean,12.52111,-69.968338,8632.1170690802,1993,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,14145.608805269,1993,315,40,0,13,0,0,0,2,67,0,0,0,40,109,0,44,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,265.00250154742,1993,141446,16469,10,7698,662,9,2644,892,54582,1349,188,38009,18,2697,336,6327,195,1481,7776,277,22,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,AZ,Azerbaijan,country,Europe and Central Asia,40.143105,47.576927,2721.24997591005,1993,1840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167,0,0,673,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,4013.69492332002,1993,91,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,BY,Belarus,country,Europe and Central Asia,53.709807,27.953389,961.057606267995,1993,7459,7,0,359,0,0,0,0,4734,0,36,0,193,30,40,1986,0,74,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,787.662806751068,1993,28626,5811,0,5,187,0,946,0,58,6452,20,23,54,1698,616,544,0,48,12160,4,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,9527.30818328847,1993,38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,37,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,4671.26542379558,1993,114,91,0,0,0,0,0,0,0,0,0,0,5,0,0,18,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,BM,Bermuda,country,North America,32.321384,-64.75737,6671.76104904939,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,BT,Bhutan,country,South Asia,27.514162,90.433601,6668.64413030008,1993,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,10637.0186334206,1993,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,BA,Bosnia & Herzegovina,country,Europe and Central Asia,43.915886,17.679076,677.998107145067,1993,1384,253,22,66,0,0,0,11,53,0,0,27,2,0,0,46,0,24,880,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,9683.77711433252,1993,3621,1900,0,0,0,0,0,0,0,21,0,0,0,90,0,44,0,0,1566,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,BN,Brunei Darussalam,country,,4.535277,114.727669,10293.2985349383,1993,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,1100.59907240002,1993,10454,60,4042,0,0,0,34,307,0,186,0,0,40,56,0,1594,0,300,3835,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,6081.87649758543,1993,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,CA,Canada,country,North America,56.130366,-106.346771,7079.04708170123,1993,1311,0,0,25,0,0,38,60,4,0,16,0,85,12,0,1071,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,8724.64170148005,1993,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,52,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,9062.96944001487,1993,148,0,0,6,0,0,0,0,0,69,0,0,0,0,0,3,0,0,70,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,9613.70783843159,1993,56,0,0,0,0,0,0,0,0,1,0,0,0,0,0,55,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,CG,"Congo, Rep.",country,Sub-Saharan Africa,-0.228021,15.827659,5571.14389477072,1993,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,CK,Cook Islands,country,East Asia and Pacific,-21.236736,-159.777671,16828.4902369826,1993,27,25,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,9843.914326034,1993,84,0,0,0,0,0,0,2,11,0,0,0,20,3,0,34,0,0,14,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,HR,Croatia,country,Europe and Central Asia,45.1,15.2,525.549485412161,1993,10757,5449,220,1758,22,0,0,567,93,0,0,348,0,29,3,831,8,109,1328,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,8432.13141308532,1993,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,140,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,2190.51719572971,1993,50,0,0,7,0,0,0,0,0,0,0,0,5,0,0,38,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,820.693464157538,1993,2084,46,0,0,131,0,23,362,0,321,0,0,6,28,0,123,0,12,898,134,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,7774.5144719382,1993,26,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,8129.49446917818,1993,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,10437.0797333681,1993,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,2876.1400991165,1993,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,53,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,9848.73804293308,1993,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,EE,Estonia,country,Europe and Central Asia,58.595272,25.013607,1155.39729132853,1993,179,17,0,59,0,0,1,7,9,0,0,0,14,0,0,72,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1488.56768622582,1993,2215,21,0,100,0,0,0,0,69,0,0,0,194,17,0,1810,0,0,4,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,FR,France,country,Europe and Central Asia,46.227638,2.213749,1063.19085863108,1993,5019,0,0,0,3,0,0,22,419,1366,0,22,0,547,110,1441,0,148,941,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,8160.12227489692,1993,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,5647.21305307296,1993,57,39,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,GM,The Gambia,country,Sub-Saharan Africa,13.443182,-15.310139,4921.83275429851,1993,104,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,385.88927523236,1993,535967,10824,0,3142,106183,7,12460,4353,50125,9418,665,224325,359,7728,14925,58719,6755,6789,17268,4706,3971,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,GH,Ghana,country,Sub-Saharan Africa,7.946527,-1.023194,4907.16936289213,1993,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,2264.8677323235,1993,12,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,GR,Greece,country,Europe and Central Asia,39.074208,21.824312,1296.92299116396,1993,6520,4123,0,21,40,15,0,26,0,136,0,0,0,0,0,750,0,499,838,72,0,0,0,0
