sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,1469.65473528297,1986,111122,23025,0,79900,90,0,0,2882,0,44,2460,0,0,1720,30,0,1775,0,971,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,AD,Andorra,country,Europe and Central Asia,42.546245,1.601554,502.5877573869,1986,33357,3110,376,501,79,129,250,2044,1094,0,22,2464,1149,1466,537,14155,13,3786,2195,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,AO,Angola,country,Sub-Saharan Africa,-11.202692,17.873887,6168.0619990405,1986,8010,1679,157,15,1,0,2,16,38,0,0,0,0,19,1,6003,0,37,42,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,6108.9907156439,1986,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,10683.2530616728,1986,566,0,0,21,4,173,9,9,3,0,39,0,3,114,7,184,14,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,15771.2652786068,1986,10341,24,0,543,0,6,2039,1848,647,0,251,0,62,579,4050,292,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,1656.86040247762,1986,81087,161,600,251,0,694,47,21255,53839,400,166,0,768,333,33,2472,0,68,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,6907.35650890195,1986,57,0,0,0,0,0,0,17,1,0,0,0,0,1,0,38,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,5230.1926553803,1986,1189,0,0,94,18,1,81,427,374,0,1,70,19,5,33,66,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,BD,Bangladesh,country,South Asia,23.684994,90.356331,8663.99737618064,1986,9917,0,0,0,0,0,0,0,0,0,0,0,0,0,9917,0,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,6192.63727087304,1986,113,0,0,79,0,0,0,0,0,0,0,0,0,0,3,31,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,1286.85828632885,1986,268149,24082,389,245,275,994,315,37693,177563,1168,228,7702,473,1436,934,14482,4,88,78,4,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,8352.25007414087,1986,102,0,0,0,0,0,0,4,0,0,0,0,0,0,91,7,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,3519.73370468441,1986,3505,760,0,0,0,0,0,68,2,0,2,0,2,662,0,2009,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,BM,Bermuda,country,North America,32.321384,-64.75737,5433.11753491473,1986,22,0,0,0,0,0,2,0,0,0,0,0,0,0,2,18,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,8832.79548638246,1986,2277,2255,0,0,0,0,0,3,0,0,0,0,2,5,5,7,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,7858.97258557232,1986,34288,158,0,5,0,203,1642,9395,679,0,18,0,0,273,20181,264,0,1470,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,BN,Brunei Darussalam,country,,4.535277,114.727669,12031.175784974,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,2434.52686910138,1986,1892,0,0,0,0,0,292,0,0,0,0,0,0,0,0,1600,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,BF,Burkina Faso,country,Sub-Saharan Africa,12.238333,-1.561593,3149.33010175919,1986,986,0,0,0,0,0,0,0,0,0,0,0,0,888,0,98,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,5962.7516098146,1986,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,CV,Cape Verde,country,Sub-Saharan Africa,16.002082,-24.013197,3352.96785007954,1986,2021,2002,0,0,0,0,0,1,0,0,7,0,1,0,0,3,0,7,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,4016.69837817166,1986,24006,63,0,12,0,0,0,77,686,0,0,0,4,1,332,22793,0,38,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,CA,Canada,country,North America,56.130366,-106.346771,7067.59909592,1986,71521,15,0,418,18,209,5405,12585,35665,0,683,0,566,265,1237,14455,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,CF,Central African Rep.,country,Sub-Saharan Africa,6.611111,20.939444,4498.76097084119,1986,3426,0,0,0,0,0,0,5,0,0,0,0,0,1,139,3279,0,0,2,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,TD,Chad,country,Sub-Saharan Africa,15.454166,18.732207,3532.49596131115,1986,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,10946.1239296351,1986,196,0,0,2,0,0,1,45,2,0,22,22,0,14,6,82,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,10538.7859760622,1986,493,6,0,149,0,0,21,113,4,0,1,2,26,17,60,83,0,11,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,CN,China,country,East Asia and Pacific,35.86166,104.195397,8798.11130984792,1986,37426,0,0,2,0,0,0,0,20,0,0,0,4,0,37400,0,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,10888.0160050819,1986,1683,0,0,34,0,40,3,1000,334,0,0,1,65,61,10,135,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,8046.77630995853,1986,1293,6,0,3,0,21,174,183,175,0,25,264,0,25,34,303,0,80,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,KM,Comoros,country,Sub-Saharan Africa,-11.875001,43.872219,7613.09218139501,1986,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,CG,"Congo, Rep.",country,Sub-Saharan Africa,-0.228021,15.827659,4944.62871151535,1986,9657,7,0,20,0,0,0,0,2,0,0,0,0,16,1934,7678,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,8472.63256627805,1986,253,0,0,0,0,0,8,3,0,0,30,0,0,0,47,105,0,60,0,0,0,0,0,0
