sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,286.976826760563,2000,1331,66,0,60,0,2,9,65,747,0,0,15,0,357,0,0,0,10,0,0,0,0,0,0
GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,2328.78974365424,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,AZ,Azerbaijan,country,Europe and Central Asia,40.143105,47.576927,428.050888651498,2000,14284,10207,99,103,0,0,1,5,3,0,0,0,0,2342,13,974,0,497,40,0,0,0,0,0
GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,BY,Belarus,country,Europe and Central Asia,53.709807,27.953389,1702.9010404405,2000,737,0,0,0,0,0,0,0,737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,1464.16116649667,2000,460,0,0,0,0,0,0,0,397,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0
GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,CN,China,country,East Asia and Pacific,35.86166,104.195397,5193.5365927476,2000,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,7282.77394955091,2000,76,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,2293.42722968915,2000,2155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2155,0,0,0,0,0,0,0,0
GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,2669.18173355162,2000,1753,0,0,0,0,0,0,0,82,0,0,0,0,0,45,1626,0,0,0,0,0,0,0,0
GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,IR,Iran,country,Middle East and North Africa,32.427908,53.688046,1428.37992361517,2000,121,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0
GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,IQ,Iraq,country,Middle East and North Africa,33.223191,43.679291,1012.53603521035,2000,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
