sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,AF,Afghanistan,country,South Asia,33.93911,67.709953,4839.04443894389,1986,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,AL,Albania,country,Europe and Central Asia,41.153332,20.168331,638.406726311158,1986,8997,0,0,0,0,0,0,49,0,0,0,5730,1,4,3200,13,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,1830.44872704142,1986,730247,716902,0,3,0,0,2,8113,21,0,0,29,1,3298,1834,15,0,21,8,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,AD,Andorra,country,Europe and Central Asia,42.546245,1.601554,906.648112298879,1986,276,229,0,0,0,0,0,0,5,0,0,0,1,19,0,12,0,2,8,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,AO,Angola,country,Sub-Saharan Africa,-11.202692,17.873887,5933.18151919249,1986,9133,7939,19,32,68,1,2,216,142,0,0,0,3,139,155,308,0,57,52,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,7479.42747489528,1986,168,97,0,0,0,0,0,20,3,0,0,0,1,4,2,41,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,11798.396728205,1986,231,18,0,0,2,17,0,0,5,0,3,46,2,106,6,7,0,19,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,14397.6673609174,1986,23708,5868,0,99,0,115,6,6585,2262,23,4,9,462,497,1535,5331,0,60,851,1,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,647.551484787866,1986,194682,24926,5988,2901,30,2007,13,41344,79456,115,1,8539,764,7214,2958,16118,0,1328,968,12,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,8189.57389862913,1986,387,0,0,0,0,0,0,0,8,0,0,0,0,0,0,374,0,0,5,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,3897.07020063266,1986,953,243,0,5,5,0,0,449,99,0,0,0,25,35,15,74,0,2,1,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,BD,Bangladesh,country,South Asia,23.684994,90.356331,7307.76106779282,1986,105,104,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,7566.68621393919,1986,55,0,0,0,0,0,0,0,0,0,0,0,0,0,10,45,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,1144.23765901851,1986,398073,180083,13556,131,34,1106,51,66575,82924,1161,2,616,3117,6939,1392,33482,13,4292,2560,29,23,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,3761.76223775468,1986,5528,207,0,0,0,0,0,5293,0,0,0,0,0,1,1,26,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,BM,Bermuda,country,North America,32.321384,-64.75737,6716.29850687151,1986,363,14,0,0,0,0,0,74,13,0,0,0,0,7,0,253,0,2,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,BT,Bhutan,country,South Asia,27.514162,90.433601,7061.89156427695,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,10122.1037637665,1986,28,0,0,0,0,0,0,0,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,9079.78706253508,1986,54149,4,0,1,1,0,0,15,133,1,0,3,0,438,62,699,0,52752,17,23,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,BN,Brunei Darussalam,country,,4.535277,114.727669,10680.629355154,1986,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,1066.86149911602,1986,28622,38,0,3893,0,0,0,1263,3522,1,0,67,95,18878,96,769,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,BF,Burkina Faso,country,Sub-Saharan Africa,12.238333,-1.561593,3572.5300448113,1986,10771,10078,0,0,0,0,0,222,0,0,0,0,0,341,103,27,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,5333.72811848638,1986,55,0,0,0,0,0,0,29,16,0,0,0,0,6,0,4,3,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,CV,Cape Verde,country,Sub-Saharan Africa,16.002082,-24.013197,4524.26901891265,1986,6877,6858,0,0,0,0,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,9286.98586948273,1986,187,185,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,3840.82661453143,1986,3149,224,0,1,2,0,0,2648,2,0,0,7,3,226,2,11,17,23,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,CA,Canada,country,North America,56.130366,-106.346771,7713.88513348809,1986,61927,9569,0,1167,4,1058,84,9946,7514,5,15,96,962,1042,1892,27561,0,193,819,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,8834.70714528549,1986,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,CF,Central African Rep.,country,Sub-Saharan Africa,6.611111,20.939444,4011.4828994646,1986,4277,4008,0,0,0,0,0,239,0,0,0,0,0,27,0,3,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,TD,Chad,country,Sub-Saharan Africa,15.454166,18.732207,2999.76578059402,1986,14709,14366,0,0,0,0,0,60,0,0,0,0,0,274,0,9,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,12144.7659639857,1986,36,12,0,0,3,1,0,0,0,0,0,1,0,11,0,8,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,9273.63108306991,1986,7688,3530,0,1429,0,210,7,532,71,10,0,92,83,79,38,307,0,72,65,1163,0,0,0,0
