sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,2640.91508917166,1986,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,1502.51476516878,1986,10314,7,37,7,0,0,0,7364,2655,0,0,0,1,24,0,219,0,0,0,0,0,0,0,0
JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,10647.247856397,1986,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,1655.52664188026,1986,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,569.606993780109,1986,13,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,3537.19568333287,1986,175,0,0,0,0,0,0,52,0,0,0,0,0,0,0,122,0,1,0,0,0,0,0,0
JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,676.088710764274,1986,1318,0,0,0,0,0,0,962,70,0,0,0,0,138,0,122,0,6,20,0,0,0,0,0
JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,FR,France,country,Europe and Central Asia,46.227638,2.213749,3403.10277166884,1986,62,0,35,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,GR,Greece,country,Europe and Central Asia,39.074208,21.824312,1617.72139416442,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,IR,Iran,country,Middle East and North Africa,32.427908,53.688046,1666.88312337319,1986,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,IQ,Iraq,country,Middle East and North Africa,33.223191,43.679291,761.789041612708,1986,29421,20218,70,11,0,0,0,2323,186,0,20,135,1,379,461,972,0,4,4641,0,0,0,0,0
