sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,361.602871713566,1997,485,0,0,0,0,0,0,0,11,0,0,0,0,4,0,470,0,0,0,0,0,0,0,0
LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,BD,Bangladesh,country,South Asia,23.684994,90.356331,14817.7669459395,1997,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,7098.50815970995,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,2971.19402331655,1997,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0
LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,636.64268623983,1997,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,CA,Canada,country,North America,56.130366,-106.346771,6075.1506474628,1997,173,0,12,0,0,0,0,6,85,0,46,0,0,0,0,24,0,0,0,0,0,0,0,0
LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,2177.78983639325,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,5630.87412975777,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,172.834597373838,1997,523,1,0,0,0,0,0,0,0,0,1,0,0,6,0,515,0,0,0,0,0,0,0,0
LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,FR,France,country,Europe and Central Asia,46.227638,2.213749,6851.44949920424,1997,44,1,0,0,0,0,0,0,0,0,1,0,0,41,0,1,0,0,0,0,0,0,0,0
LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,7525.04835588232,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,195.441505158768,1997,295,0,0,0,0,0,0,0,0,0,0,0,0,8,15,272,0,0,0,0,0,0,0,0
LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,1032.10230994231,1997,1311,0,0,1,0,0,0,0,0,0,0,0,0,60,0,1250,0,0,0,0,0,0,0,0
LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1331.59576150007,1997,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,7634.4480460425,1997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,1806.73157486265,1997,13,0,0,5,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0
LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,MS,Montserrat,country,Latin America and the Caribbean,16.7425,-62.1874,341.014376196939,1997,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0
LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,7186.90011754823,1997,27,0,22,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,KN,St. Kitts and Nevis,country,Latin America and the Caribbean,17.357822,-62.782998,429.822872019757,1997,138,0,0,0,0,0,0,0,0,0,0,0,0,2,0,136,0,0,0,0,0,0,0,0
LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,VC,St. Vincent & Grenadines,country,Latin America and the Caribbean,12.984305,-61.287228,108.261238539775,1997,132,0,0,0,0,0,0,0,3,0,0,0,0,6,0,110,0,13,0,0,0,0,0,0
LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,SR,Suriname,country,Latin America and the Caribbean,3.919305,-56.027783,1237.91204112255,1997,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
