sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
MT,Malta,country,Middle East and North Africa,35.937496,14.375416,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,1289.01961590328,1987,30,0,0,0,0,0,0,15,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
MT,Malta,country,Middle East and North Africa,35.937496,14.375416,BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,3613.54393195674,1987,52,35,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
MT,Malta,country,Middle East and North Africa,35.937496,14.375416,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,1805.96736837604,1987,298,0,0,0,0,0,0,0,0,0,0,0,0,283,0,0,0,0,15,0,0,0,0,0
MT,Malta,country,Middle East and North Africa,35.937496,14.375416,CA,Canada,country,North America,56.130366,-106.346771,8362.36335326744,1987,18,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,0,0,0,0,0,0,0
MT,Malta,country,Middle East and North Africa,35.937496,14.375416,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,9863.98588638526,1987,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
MT,Malta,country,Middle East and North Africa,35.937496,14.375416,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,3755.14764842571,1987,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0
MT,Malta,country,Middle East and North Africa,35.937496,14.375416,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,1725.78016006146,1987,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
MT,Malta,country,Middle East and North Africa,35.937496,14.375416,DJ,Djibouti,country,Middle East and North Africa,11.825138,42.590275,3902.48416527646,1987,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
MT,Malta,country,Middle East and North Africa,35.937496,14.375416,EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,1857.9258341146,1987,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
MT,Malta,country,Middle East and North Africa,35.937496,14.375416,FR,France,country,Europe and Central Asia,46.227638,2.213749,1530.56135872759,1987,28,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0
MT,Malta,country,Middle East and North Africa,35.937496,14.375416,GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,3779.57654493487,1987,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
MT,Malta,country,Middle East and North Africa,35.937496,14.375416,IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,3910.89830112471,1987,7,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
MT,Malta,country,Middle East and North Africa,35.937496,14.375416,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,2621.3580739247,1987,100,34,0,0,0,0,0,0,21,0,0,0,37,0,0,0,0,0,8,0,0,0,0,0
MT,Malta,country,Middle East and North Africa,35.937496,14.375416,IL,Israel,country,Middle East and North Africa,31.046051,34.851612,1973.1138842064,1987,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
