sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,10318.5311696182,1986,1689,0,0,0,0,0,0,0,0,0,0,0,0,1689,0,0,0,0,0,0,0,0,0,0
MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,7044.28550315178,1986,416,0,0,0,0,0,0,0,0,0,0,0,0,416,0,0,0,0,0,0,0,0,0,0
MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,BD,Bangladesh,country,South Asia,23.684994,90.356331,7354.72901459482,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,7669.02638515762,1986,7226,0,0,200,0,0,0,0,0,0,23,0,0,7003,0,0,0,0,0,0,0,0,0,0
MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,BW,Botswana,country,Sub-Saharan Africa,-22.328474,24.684866,1433.98486268047,1986,11087,10500,0,0,0,0,0,0,0,0,0,0,263,324,0,0,0,0,0,0,0,0,0,0
MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,9261.38550158091,1986,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1200.98857328186,1986,937,0,0,750,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0
MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,3340.4663186541,1986,150,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0
MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,CA,Canada,country,North America,56.130366,-106.346771,14201.8664900725,1986,326,0,0,0,0,0,0,0,0,0,0,0,256,70,0,0,0,0,0,0,0,0,0,0
MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,10275.2568468264,1986,144,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0
