sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,AL,Albania,country,Europe and Central Asia,41.153332,20.168331,2294.5566071872,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,AO,Angola,country,Sub-Saharan Africa,-11.202692,17.873887,8022.40712729043,1986,9,1,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,12796.5594741767,1986,51,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,14358.1758235878,1986,1988,121,0,0,0,0,0,0,0,0,0,85,0,40,0,5,0,0,1737,0,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,1494.58423441419,1986,282,155,0,0,0,0,0,0,37,0,0,22,3,2,7,0,0,0,46,0,10,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,4992.34012453848,1986,51,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,39,0,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,1137.42528346501,1986,888,28,0,5,0,0,0,0,0,1,0,0,0,9,794,30,0,2,18,1,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,8734.16942320833,1986,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,5718.49699436758,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,10646.9756847883,1986,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,9878.13884592279,1986,180,1,0,0,0,0,0,0,1,0,0,138,1,1,0,1,0,0,2,35,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,BN,Brunei Darussalam,country,,4.535277,114.727669,10457.6021722448,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,2283.18499883182,1986,154,7,0,0,0,0,0,0,0,0,0,132,0,15,0,0,0,0,0,0,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,CA,Canada,country,North America,56.130366,-106.346771,5856.9345481944,1986,2515,172,0,0,2,0,0,0,0,10,0,1389,7,8,0,48,0,0,878,1,0,0,0,0
