sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,AF,Afghanistan,country,South Asia,33.93911,67.709953,13738.7577664531,1986,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,18477.4086830962,1986,32323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5497,26826,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,WS,Samoa,country,East Asia and Pacific,-13.759029,-172.104629,3275.06524040985,1986,10501,307,471,2125,54,1,0,823,377,0,0,62,49,141,279,1195,34,3508,1109,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,14035.8032904426,1986,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,86,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,9396.35490511559,1986,129,0,0,0,97,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,4162.27214264836,1986,73077,2991,4,5366,4548,2,148,19183,11119,10192,0,1354,729,187,2132,2057,0,4238,8007,820,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,18310.6283212618,1986,4276,0,0,11,0,0,0,0,3908,0,0,0,0,0,0,0,0,357,0,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,13251.9038293169,1986,868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589,279,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,14691.83635407,1986,2366,0,39,0,0,0,0,192,228,0,0,0,0,0,0,15,0,1291,601,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,BD,Bangladesh,country,South Asia,23.684994,90.356331,11283.724065472,1986,569,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,557,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,13945.702846051,1986,4286,0,0,0,0,0,0,0,68,0,0,0,0,0,64,0,0,1836,2318,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,18736.7606707317,1986,28492,0,0,3,4137,0,0,32,3644,15946,0,0,0,0,859,0,0,3797,0,74,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,11806.9385615145,1986,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,BM,Bermuda,country,North America,32.321384,-64.75737,14726.4162756133,1986,1750,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,896,784,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,12234.2778670789,1986,48961,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,139,48688,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,13891.6399437239,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,BN,Brunei Darussalam,country,,4.535277,114.727669,7919.90059738602,1986,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,CA,Canada,country,North America,56.130366,-106.346771,13078.8822655872,1986,38331,54,0,43,18,0,0,135,2300,1096,0,0,0,0,0,465,0,31842,2378,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,12627.1217964497,1986,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,9146.62956844645,1986,10481,10000,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,290,163,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,9432.9557257228,1986,27126,103,0,11,4,0,0,1572,5000,8357,0,788,42,0,608,22,0,3909,6710,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,9455.19532567535,1986,43,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,CN,China,country,East Asia and Pacific,35.86166,104.195397,11179.691715032,1986,85431,0,0,0,5,0,0,0,0,51543,0,174,0,0,17587,0,0,1005,15116,1,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,9094.58432340962,1986,102164,53719,0,504,0,0,0,51,3207,5317,0,0,0,6,15740,0,0,4984,17390,1246,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,12095.8733055889,1986,1499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,CK,Cook Islands,country,East Asia and Pacific,-21.236736,-159.777671,3237.50614341193,1986,3773,401,206,404,0,5,2,240,108,0,0,36,45,5,151,1368,3,554,248,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,11680.5525259308,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,12993.5688041845,1986,16968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16968,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,16624.8543183993,1986,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765,65,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,18155.249643041,1986,2756,0,0,0,0,0,0,0,0,2555,0,0,0,0,0,0,0,0,201,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,14336.6229309846,1986,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,18026.0204362707,1986,5495,0,0,20,42,0,0,57,2430,519,0,16,0,0,0,22,0,2003,386,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,DJ,Djibouti,country,Middle East and North Africa,11.825138,42.590275,14382.5030161905,1986,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,13955.5733985947,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,13449.0403569063,1986,8077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8076,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,11297.0383583639,1986,13826,11550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2276,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,16399.7029091802,1986,6047,0,0,0,0,0,0,0,0,1378,0,0,0,0,0,0,0,2508,2161,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,11535.7981249654,1986,5946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5946,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,FJ,Fiji,country,East Asia and Pacific,-16.578193,179.414413,2742.36387410259,1986,43410,8616,11505,256,1577,0,2,5489,1124,0,0,2399,78,0,3228,18,13,6558,2560,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,16922.1260128795,1986,2256,0,0,0,0,0,0,3,1401,60,0,704,0,2,0,0,0,75,0,11,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,FR,France,country,Europe and Central Asia,46.227638,2.213749,19200.9265063066,1986,47647,14012,0,0,128,0,0,609,8124,10219,0,0,0,0,5735,0,0,7776,0,1044,0,0,0,0
