sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
SC,Seychelles,country,Sub-Saharan Africa,-4.679574,55.491977,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,11756.5907970945,1990,42,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,Seychelles,country,Sub-Saharan Africa,-4.679574,55.491977,CA,Canada,country,North America,56.130366,-106.346771,14087.4164337262,1990,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,Seychelles,country,Sub-Saharan Africa,-4.679574,55.491977,FR,France,country,Europe and Central Asia,46.227638,2.213749,7715.25662017853,1990,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
SC,Seychelles,country,Sub-Saharan Africa,-4.679574,55.491977,JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,14691.8765395963,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,Seychelles,country,Sub-Saharan Africa,-4.679574,55.491977,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,9679.59407860181,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,Seychelles,country,Sub-Saharan Africa,-4.679574,55.491977,MU,Mauritius,country,Sub-Saharan Africa,-20.348404,57.552152,1758.45432864384,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,Seychelles,country,Sub-Saharan Africa,-4.679574,55.491977,NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,7892.65917214529,1990,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
SC,Seychelles,country,Sub-Saharan Africa,-4.679574,55.491977,PK,Pakistan,country,South Asia,30.375321,69.345116,4171.98826835382,1990,883,0,0,0,0,0,883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,Seychelles,country,Sub-Saharan Africa,-4.679574,55.491977,RE,Reunion,country,Sub-Saharan Africa,-21.115141,55.536384,1829.60524435258,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,Seychelles,country,Sub-Saharan Africa,-4.679574,55.491977,SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,5416.67567437286,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,Seychelles,country,Sub-Saharan Africa,-4.679574,55.491977,ZA,S. Africa,country,Sub-Saharan Africa,-30.559482,22.937506,4464.46203155879,1990,32,0,0,0,0,0,0,0,0,0,15,0,0,0,0,17,0,0,0,0,0,0,0,0
SC,Seychelles,country,Sub-Saharan Africa,-4.679574,55.491977,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,7370.71324250558,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,Seychelles,country,Sub-Saharan Africa,-4.679574,55.491977,TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,13034.5003592874,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,Seychelles,country,Sub-Saharan Africa,-4.679574,55.491977,GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,8570.48256012774,1990,21,0,0,0,0,0,0,0,1,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0
SC,Seychelles,country,Sub-Saharan Africa,-4.679574,55.491977,US,USA,country,North America,37.09024,-95.712891,15388.6144185058,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,Seychelles,country,Sub-Saharan Africa,-4.679574,55.491977,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,8618.00878557655,1991,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
