sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,AF,Afghanistan,country,South Asia,33.93911,67.709953,5221.20710246478,1986,11417,0,0,0,0,0,0,0,0,0,85,0,0,122,10770,0,0,0,440,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,AD,Andorra,country,Europe and Central Asia,42.546245,1.601554,10914.1255717244,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,AO,Angola,country,Sub-Saharan Africa,-11.202692,17.873887,9605.50066781426,1986,398,0,0,0,0,0,0,0,0,0,0,0,0,0,398,0,0,0,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,15716.9785203404,1986,1935,0,0,0,0,0,24,0,0,0,105,0,0,11,1795,0,0,0,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,4381.46321205675,1986,25794,740,19,11,210,47,1876,109,320,0,1109,2,17808,1733,1319,347,0,114,30,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,9852.86236601371,1986,210,0,0,0,0,0,76,0,0,0,0,0,125,9,0,0,0,0,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,6311.14368143857,1986,8261,212,0,145,48,32,187,57,472,0,82,0,37,407,6353,195,0,0,34,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,BD,Bangladesh,country,South Asia,23.684994,90.356331,2879.17008205952,1986,188681,62,0,86,235,0,2,21,266,0,4271,0,35,914,174583,760,0,22,7424,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,17588.7691625279,1986,87,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,10562.1505271109,1986,2267,4,0,0,0,0,13,80,786,0,513,0,665,134,15,0,0,57,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,11257.1142254879,1986,7942,0,0,0,0,0,0,0,0,0,5,0,0,79,7858,0,0,0,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,17007.8406122175,1986,563,0,0,0,0,0,0,0,35,0,528,0,0,0,0,0,0,0,0,0,0,0,0,0
