sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,AF,Afghanistan,country,South Asia,33.93911,67.709953,4601.93982134129,1992,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0
SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,AL,Albania,country,Europe and Central Asia,41.153332,20.168331,694.743085352415,1992,88,0,0,9,0,0,0,0,0,0,0,0,0,57,0,0,0,0,22,0,0,0,0,0
SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,2331.4260261087,1992,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0
SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,12237.8079569646,1992,29,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,2516.86596718957,1992,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,14199.1958903943,1992,242,4,0,9,0,0,0,0,0,0,0,199,0,0,0,30,0,0,0,0,0,0,0,0
SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,155.688978478104,1992,23227,726,0,30,0,0,1,261,1631,86,2,357,821,299,583,4048,0,2321,11070,991,0,0,0,0
SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,3868.22193417741,1992,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,BY,Belarus,country,Europe and Central Asia,53.709807,27.953389,1249.58416727336,1992,135,4,0,0,0,0,0,0,30,0,0,4,3,24,0,70,0,0,0,0,0,0,0,0
SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,916.13681112081,1992,715,0,0,0,0,0,0,2,167,4,0,5,0,509,0,25,0,3,0,0,0,0,0,0
SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,BA,Bosnia & Herzegovina,country,Europe and Central Asia,43.915886,17.679076,326.288141559035,1992,4232,954,566,250,22,0,0,60,103,0,5,87,13,315,314,830,0,515,198,0,0,0,0,0
SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,9470.26212606,1992,193,0,0,0,0,0,0,0,0,0,0,173,0,11,0,9,0,0,0,0,0,0,0,0
SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,915.472087205558,1992,66,1,0,0,0,0,0,0,0,0,0,0,0,56,0,9,0,0,0,0,0,0,0,0
SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,CA,Canada,country,North America,56.130366,-106.346771,7408.11983310254,1992,1539,1,0,58,0,0,0,126,543,0,0,0,2,0,0,750,0,0,59,0,0,0,0,0
SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,12550.5085357651,1992,8,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,8907.68594826687,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,9281.25785625908,1992,53,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0
SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,9597.52322362191,1992,184,0,0,0,0,0,0,0,0,0,0,121,0,0,0,63,0,0,0,0,0,0,0,0
SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,HR,Croatia,country,Europe and Central Asia,45.1,15.2,118.10185755001,1992,222358,8419,1768,12879,23,93,1341,3100,12450,262,407,10829,1011,469,7268,70119,4338,34675,57211,34,0,0,0,0
SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,1974.36107860243,1992,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
