sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
ST,Sao Tome and Principe,country,Sub-Saharan Africa,0.18636,6.613081,AO,Angola,country,Sub-Saharan Africa,-11.202692,17.873887,1777.3451101459,2003,386,0,19,0,0,0,353,0,0,0,0,0,0,1,1,12,0,0,0,0,0,0,0,0
ST,Sao Tome and Principe,country,Sub-Saharan Africa,0.18636,6.613081,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,5605.00766973477,2003,568,0,0,0,0,0,0,0,0,0,0,0,568,0,0,0,0,0,0,0,0,0,0,0
ST,Sao Tome and Principe,country,Sub-Saharan Africa,0.18636,6.613081,FR,France,country,Europe and Central Asia,46.227638,2.213749,5143.32705729173,2003,128,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0
ST,Sao Tome and Principe,country,Sub-Saharan Africa,0.18636,6.613081,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,566.992186205332,2003,65,0,56,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST,Sao Tome and Principe,country,Sub-Saharan Africa,0.18636,6.613081,NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,5783.95560334635,2003,1735,0,0,0,0,0,0,0,0,0,0,0,1735,0,0,0,0,0,0,0,0,0,0,0
ST,Sao Tome and Principe,country,Sub-Saharan Africa,0.18636,6.613081,NG,Nigeria,country,Sub-Saharan Africa,9.081999,8.675277,1016.29650215677,2003,23,0,0,0,0,0,11,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
ST,Sao Tome and Principe,country,Sub-Saharan Africa,0.18636,6.613081,PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,4619.05008998753,2003,986,0,3,0,15,0,0,3,2,0,0,0,791,12,160,0,0,0,0,0,0,0,0,0
ST,Sao Tome and Principe,country,Sub-Saharan Africa,0.18636,6.613081,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,7595.87687000589,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST,Sao Tome and Principe,country,Sub-Saharan Africa,0.18636,6.613081,US,USA,country,North America,37.09024,-95.712891,11097.4722895413,2003,135,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0
ST,Sao Tome and Principe,country,Sub-Saharan Africa,0.18636,6.613081,AO,Angola,country,Sub-Saharan Africa,-11.202692,17.873887,1777.3451101459,2009,234,0,0,0,0,0,233,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ST,Sao Tome and Principe,country,Sub-Saharan Africa,0.18636,6.613081,BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,9405.91127409188,2009,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
ST,Sao Tome and Principe,country,Sub-Saharan Africa,0.18636,6.613081,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,5605.00766973477,2009,575,0,0,0,0,0,0,0,0,0,0,0,575,0,0,0,0,0,0,0,0,0,0,0
ST,Sao Tome and Principe,country,Sub-Saharan Africa,0.18636,6.613081,CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,9008.48258971794,2009,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST,Sao Tome and Principe,country,Sub-Saharan Africa,0.18636,6.613081,KM,Comoros,country,Sub-Saharan Africa,-11.875001,43.872219,4330.77918593969,2009,24,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST,Sao Tome and Principe,country,Sub-Saharan Africa,0.18636,6.613081,FR,France,country,Europe and Central Asia,46.227638,2.213749,5143.32705729173,2009,63,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0
ST,Sao Tome and Principe,country,Sub-Saharan Africa,0.18636,6.613081,PF,French Polynesia,country,East Asia and Pacific,-17.679742,-149.406843,16768.6387153358,2009,93,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0
ST,Sao Tome and Principe,country,Sub-Saharan Africa,0.18636,6.613081,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,566.992186205332,2009,51,0,0,0,0,0,50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ST,Sao Tome and Principe,country,Sub-Saharan Africa,0.18636,6.613081,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,4678.81653537144,2009,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0
ST,Sao Tome and Principe,country,Sub-Saharan Africa,0.18636,6.613081,NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,5783.95560334635,2009,765,0,0,0,0,0,0,0,0,0,0,0,765,0,0,0,0,0,0,0,0,0,0,0
ST,Sao Tome and Principe,country,Sub-Saharan Africa,0.18636,6.613081,NG,Nigeria,country,Sub-Saharan Africa,9.081999,8.675277,1016.29650215677,2009,147,0,14,0,0,0,124,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
ST,Sao Tome and Principe,country,Sub-Saharan Africa,0.18636,6.613081,PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,4619.05008998753,2009,1078,1,1,0,0,0,7,1,1,0,0,0,978,45,44,0,0,0,0,0,0,0,0,0
ST,Sao Tome and Principe,country,Sub-Saharan Africa,0.18636,6.613081,AO,Angola,country,Sub-Saharan Africa,-11.202692,17.873887,1777.3451101459,2012,74,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST,Sao Tome and Principe,country,Sub-Saharan Africa,0.18636,6.613081,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,5605.00766973477,2012,179,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0
ST,Sao Tome and Principe,country,Sub-Saharan Africa,0.18636,6.613081,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1022.56696293591,2012,267,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
