sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
TG,Togo,country,Sub-Saharan Africa,8.619543,0.824782,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,4674.68471587409,1994,3331,0,0,0,0,0,0,0,0,580,0,0,2491,3,257,0,0,0,0,0,0,0,0,0
TG,Togo,country,Sub-Saharan Africa,8.619543,0.824782,BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,180.967981740533,1994,2832,1700,0,11,0,9,0,19,7,93,2,0,2,255,12,256,0,0,466,0,0,0,0,0
TG,Togo,country,Sub-Saharan Africa,8.619543,0.824782,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,6355.93995721107,1994,400,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TG,Togo,country,Sub-Saharan Africa,8.619543,0.824782,BF,Burkina Faso,country,Sub-Saharan Africa,12.238333,-1.561593,480.118570534347,1994,72,30,0,0,0,0,0,1,0,0,1,0,0,24,0,16,0,0,0,0,0,0,0,0
TG,Togo,country,Sub-Saharan Africa,8.619543,0.824782,TD,Chad,country,Sub-Saharan Africa,15.454166,18.732207,2091.26072838803,1994,657,0,0,0,0,0,0,0,0,0,0,0,0,0,657,0,0,0,0,0,0,0,0,0
TG,Togo,country,Sub-Saharan Africa,8.619543,0.824782,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,12603.7698494557,1994,17497,0,0,0,0,0,0,0,0,17497,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TG,Togo,country,Sub-Saharan Africa,8.619543,0.824782,CG,"Congo, Rep.",country,Sub-Saharan Africa,-0.228021,15.827659,1933.569038733,1994,134,13,57,2,2,0,1,1,0,0,2,0,0,2,1,52,0,1,0,0,0,0,0,0
TG,Togo,country,Sub-Saharan Africa,8.619543,0.824782,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,712.46167154545,1994,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
TG,Togo,country,Sub-Saharan Africa,8.619543,0.824782,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,5357.78286883821,1994,5230,0,0,0,0,0,0,0,0,100,0,5100,0,0,0,30,0,0,0,0,0,0,0,0
TG,Togo,country,Sub-Saharan Africa,8.619543,0.824782,FR,France,country,Europe and Central Asia,46.227638,2.213749,4188.61398747771,1994,7179,0,45,0,0,105,1,62,18,275,0,3520,2978,6,167,2,0,0,0,0,0,0,0,0
TG,Togo,country,Sub-Saharan Africa,8.619543,0.824782,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,1591.12709583027,1994,244,108,49,34,7,0,5,1,3,0,0,0,6,14,0,17,0,0,0,0,0,0,0,0
TG,Togo,country,Sub-Saharan Africa,8.619543,0.824782,GM,The Gambia,country,Sub-Saharan Africa,13.443182,-15.310139,1842.14397748493,1994,29,0,0,3,0,0,0,2,0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0
TG,Togo,country,Sub-Saharan Africa,8.619543,0.824782,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,4817.99845156036,1994,1995,1,8,0,0,0,0,15,24,1156,0,0,784,0,0,7,0,0,0,0,0,0,0,0
TG,Togo,country,Sub-Saharan Africa,8.619543,0.824782,GH,Ghana,country,Sub-Saharan Africa,7.946527,-1.023194,216.917189130967,1994,817,7,0,5,0,0,0,40,0,300,54,119,2,252,1,25,0,3,9,0,0,0,0,0
TG,Togo,country,Sub-Saharan Africa,8.619543,0.824782,GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,1165.22005607396,1994,27,13,0,4,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
TG,Togo,country,Sub-Saharan Africa,8.619543,0.824782,IN,India,country,South Asia,20.593684,78.96288,8453.4504006553,1994,310,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TG,Togo,country,Sub-Saharan Africa,8.619543,0.824782,ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,12573.1968391574,1994,7648,0,0,0,0,0,0,0,0,7648,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TG,Togo,country,Sub-Saharan Africa,8.619543,0.824782,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,5052.71397676685,1994,4650,0,0,0,0,0,0,0,0,0,0,4650,0,0,0,0,0,0,0,0,0,0,0,0
TG,Togo,country,Sub-Saharan Africa,8.619543,0.824782,IL,Israel,country,Middle East and North Africa,31.046051,34.851612,4319.28218771231,1994,76,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TG,Togo,country,Sub-Saharan Africa,8.619543,0.824782,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,3877.20206137133,1994,2380,0,0,0,0,0,0,0,0,1193,0,0,1187,0,0,0,0,0,0,0,0,0,0,0
TG,Togo,country,Sub-Saharan Africa,8.619543,0.824782,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,13350.9417167677,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TG,Togo,country,Sub-Saharan Africa,8.619543,0.824782,LR,Liberia,country,Sub-Saharan Africa,6.428055,-9.429499,1157.57343536953,1994,138,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TG,Togo,country,Sub-Saharan Africa,8.619543,0.824782,MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,11171.1065991999,1994,1270,0,0,0,0,0,0,0,0,1270,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TG,Togo,country,Sub-Saharan Africa,8.619543,0.824782,ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,1124.92579687057,1994,4,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
TG,Togo,country,Sub-Saharan Africa,8.619543,0.824782,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,10975.7591212862,1994,4687,0,0,0,0,0,0,0,0,0,0,4687,0,0,0,0,0,0,0,0,0,0,0,0
TG,Togo,country,Sub-Saharan Africa,8.619543,0.824782,MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,2706.41629470266,1994,4975,0,0,0,0,0,0,0,0,2875,0,2000,100,0,0,0,0,0,0,0,0,0,0,0
TG,Togo,country,Sub-Saharan Africa,8.619543,0.824782,NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,4860.90492803634,1994,5330,0,0,0,0,0,0,0,4,100,0,0,5194,0,32,0,0,0,0,0,0,0,0,0
