sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,711.699837920978,1986,120,57,0,1,0,0,0,0,5,0,3,0,3,33,0,5,0,0,13,0,0,0,0,0
TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,17770.9081694862,1986,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0
TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,8075.86832320684,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,2337.46030898868,1986,144,0,0,0,0,0,0,0,0,0,0,0,0,6,0,138,0,0,0,0,0,0,0,0
TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,11616.6781538468,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,333.201247831015,1986,3975,296,0,2295,0,5,2,81,26,0,8,0,35,808,0,418,0,1,0,0,0,0,0,0
TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,7391.05388046573,1986,146,0,0,0,0,0,0,0,0,0,0,0,143,0,0,3,0,0,0,0,0,0,0,0
TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,BM,Bermuda,country,North America,32.321384,-64.75737,2434.98475497803,1986,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0
TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,935.725867270579,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,CA,Canada,country,North America,56.130366,-106.346771,6377.12517487862,1986,36332,7,0,0,0,0,12,149,10,0,42,0,0,34219,0,1893,0,0,0,0,0,0,0,0
TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,2296.41286629328,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,16319.0833735475,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,16201.9062426976,1986,20,11,0,0,2,0,0,3,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0
TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,9753.59219047516,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,7843.76355868068,1986,36,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,16,0,0,0,0,0
TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,526.03007868635,1986,2497,2428,0,0,3,0,0,1,0,0,4,0,0,44,0,12,0,0,5,0,0,0,0,0
TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,8811.61205039008,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,FR,France,country,Europe and Central Asia,46.227638,2.213749,7127.34718261979,1986,15,0,0,0,0,0,0,0,0,0,0,0,11,2,0,2,0,0,0,0,0,0,0,0
TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,GM,The Gambia,country,Sub-Saharan Africa,13.443182,-15.310139,5000.60953308598,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,179.768027292594,1986,1401,526,105,210,30,0,28,49,20,0,16,0,11,104,101,195,0,0,6,0,0,0,0,0
TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,707.689920966514,1986,46,5,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,7,0,0,0,0,0
TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,696.604837833264,1986,203,15,0,0,10,0,110,0,0,0,0,0,0,38,17,7,57,0,6,0,0,0,0,0
TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,6853.44823701814,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,IL,Israel,country,Middle East and North Africa,31.046051,34.851612,9976.67450661713,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,7886.61290176917,1986,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,1918.25374307869,1986,587,253,0,4,0,3,12,1,3,0,0,0,159,141,0,9,0,2,0,0,0,0,0,0
TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,14431.3657483464,1986,47,0,0,0,0,0,0,0,0,0,0,0,45,0,0,2,0,0,0,0,0,0,0,0
TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,11017.6596867896,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,17543.6986023969,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
