sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,AF,Afghanistan,country,South Asia,33.93911,67.709953,5258.81950912141,1986,16,0,0,2,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,WS,Samoa,country,East Asia and Pacific,-13.759029,-172.104629,8388.29621253476,1986,31,19,0,0,0,0,4,2,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,15490.3894789823,1986,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,18342.5857234006,1986,9,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,5623.9230835048,1986,9190,729,0,53,0,0,20,6461,1057,2,0,33,51,690,0,75,0,4,15,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,9240.72783960742,1986,951,30,0,0,0,0,9,776,104,0,0,0,0,15,0,17,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,14262.6770208008,1986,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,7019.95968944302,1986,667,45,0,13,0,0,0,308,230,0,49,0,0,9,13,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,BD,Bangladesh,country,South Asia,23.684994,90.356331,3113.59306766267,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,15930.3773864614,1986,19,0,0,0,0,0,0,16,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
