sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,AF,Afghanistan,country,South Asia,33.93911,67.709953,3414.76407134658,2002,10802,0,0,10677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0
UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,AL,Albania,country,Europe and Central Asia,41.153332,20.168331,1182.12133188703,2002,8535,6141,0,0,0,0,0,0,0,0,0,0,0,0,2154,0,0,0,240,0,0,0,0,0
UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,3395.90006158629,2002,538901,510526,0,0,0,0,0,0,0,0,0,0,0,0,28310,0,0,0,65,0,0,0,0,0
UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,AO,Angola,country,Sub-Saharan Africa,-11.202692,17.873887,6760.99005269534,2002,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0
UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,8822.14181735673,2002,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0
UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,1438.52144786897,2002,49188,34592,0,283,1116,0,43,79,7,0,0,8246,640,898,830,114,193,0,2340,0,0,0,0,0
UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,12997.9262145222,2002,27,0,0,0,0,22,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0
UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,1240.16714200496,2002,46581,377,0,0,5055,137,777,103,3090,0,160,0,0,1,36834,47,0,0,0,0,0,0,0,0
UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,AZ,Azerbaijan,country,Europe and Central Asia,40.143105,47.576927,1592.28795630754,2002,127962,7358,0,102759,68,22,0,78,242,0,0,3627,5121,27,0,5474,0,314,2872,0,0,0,0,0
UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,9220.88267111211,2002,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0
UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,BD,Bangladesh,country,South Asia,23.684994,90.356331,5819.53384727614,2002,10117,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,9975,0,0,0,0,0
UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,BY,Belarus,country,Europe and Central Asia,53.709807,27.953389,634.368571503898,2002,474770,234531,0,14916,1811,0,216,2198,1765,0,0,194366,126,2990,12764,9050,0,33,4,0,0,0,0,0
UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,1936.06215777135,2002,354316,353932,0,0,0,0,0,1,299,0,0,0,0,0,0,67,0,0,17,0,0,0,0,0
UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,10613.3820274789,2002,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,5117.59395110524,2002,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,11713.0726482935,2002,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0
UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,BA,Bosnia & Herzegovina,country,Europe and Central Asia,43.915886,17.679076,1150.56262834556,2002,39,0,0,0,0,31,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,10698.5370919967,2002,119465,119465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,8913.1235659886,2002,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0
UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,768.259958255267,2002,15735,1719,0,5694,980,193,259,217,13,0,22,0,0,24,731,472,0,2,5409,0,0,0,0,0
UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,CV,Cape Verde,country,Sub-Saharan Africa,16.002082,-24.013197,6145.31091437749,2002,1600,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,7784.16360578506,2002,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0
UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,CA,Canada,country,North America,56.130366,-106.346771,7753.49186062199,2002,199934,199251,0,42,1,20,29,47,27,0,0,0,31,23,31,432,0,0,0,0,0,0,0,0
UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,13768.8454546308,2002,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,15,0,0,0,0,0
UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,CN,China,country,East Asia and Pacific,35.86166,104.195397,5953.75273292689,2002,195,0,0,0,0,0,0,0,0,0,0,0,0,11,0,134,0,0,50,0,0,0,0,0
UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,8057.78696048136,2002,52655,0,0,52630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,CG,"Congo, Rep.",country,Sub-Saharan Africa,-0.228021,15.827659,5609.39666498067,2002,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1268.82023371635,2002,430,388,0,0,37,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,9548.73991632326,2002,22358,22326,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0
UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,1487.07385673105,2002,219401,178650,0,1,0,0,0,1,0,0,0,0,1,0,34610,6138,0,0,0,0,0,0,0,0
UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1152.76985885151,2002,9013,3455,0,144,140,245,618,221,875,0,129,1921,1,101,0,54,0,0,1109,0,0,0,0,0
UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,KP,"Korea, Dem. Rep.",country,East Asia and Pacific,40.339852,127.510093,7198.08518670325,2002,1849,1849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,1704.77584445841,2002,7022,500,0,0,0,0,0,0,240,0,0,6076,0,166,0,0,0,0,40,0,0,0,0,0
UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,DJ,Djibouti,country,Middle East and North Africa,11.825138,42.590275,4205.2048219402,2002,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,11589.826502107,2002,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0
UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,2400.13011432895,2002,548175,507260,0,0,0,0,0,0,0,0,0,31735,0,0,9030,150,0,0,0,0,0,0,0,0
