sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
US,USA,country,North America,37.09024,-95.712891,AF,Afghanistan,country,South Asia,33.93911,67.709953,11945.9354467417,1986,154,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,8779.41026461201,1986,2196577,2031866,0,0,23418,0,0,0,0,0,2,122690,0,1590,14493,0,0,0,1209,1309,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,AO,Angola,country,Sub-Saharan Africa,-11.202692,17.873887,12855.6818927448,1986,44785,9234,5,27,27573,0,0,27,34,3,0,0,2,143,3187,27,0,161,4362,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,9027.78308395216,1986,22424,15149,0,287,231,149,195,3,80,746,5,257,2,3456,968,45,298,563,288,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,15201.4934480637,1986,95448,3169,131,348,3516,4687,951,9239,12365,51,124,39562,987,14506,1157,2558,0,234,973,890,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,8353.28397261787,1986,38757,3478,0,48,144,912,112,336,1813,8,0,781,0,1349,104,184,1,561,28927,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,2195.73438188177,1986,115245,12536,2857,8057,39,58,82,12092,8767,0,115,23393,207,28055,1412,8339,2724,6109,3127,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,12187.1930653907,1986,4791,599,33,36,111,118,27,449,1595,0,24,12,25,885,178,180,0,504,15,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,BD,Bangladesh,country,South Asia,23.684994,90.356331,13242.1548837342,1986,786133,752143,0,106,0,0,0,0,0,10307,0,0,0,54,23462,61,1,0,0,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,4467.07536935911,1986,88721,60224,120,83,268,12,95,1406,3042,0,27,15618,54,2707,1391,607,0,2510,557,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,7562.35939315518,1986,1354822,255827,0,621,6459,3467,982229,863,7080,11509,3,24199,155,24223,14782,1203,19,15684,33,6485,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,2325.7362559901,1986,14577,9027,0,120,562,17,9,105,258,0,0,480,41,758,1832,439,16,595,334,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,10097.8900517005,1986,25651,22630,0,0,0,0,0,0,0,0,0,0,0,617,689,0,0,44,1671,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,BM,Bermuda,country,North America,32.321384,-64.75737,2869.02299967506,1986,32880,2832,266,534,5,104,24,5441,6570,1,0,2971,42,7118,414,2043,78,3623,892,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,6830.7841558998,1986,248883,236414,0,102,2974,0,157,8,35,0,1,87,69,212,2341,37,12,10,6436,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,BW,Botswana,country,Sub-Saharan Africa,-22.328474,24.684866,14142.9070636178,1986,9458,9458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,7325.11541751429,1986,3008588,2429205,0,349,14847,2187,325126,1652,4823,3915,17,442,306,3417,62682,90,184,51806,101586,6138,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,BN,Brunei Darussalam,country,,4.535277,114.727669,14430.8619318203,1986,1304,1,0,2,0,8,5,60,300,0,0,3,12,23,0,0,0,890,0,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,9343.10283213143,1986,271549,203199,0,0,0,0,49253,0,0,0,0,18102,0,735,0,0,0,0,0,260,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,BF,Burkina Faso,country,Sub-Saharan Africa,12.238333,-1.561593,9562.9300799837,1986,17994,10664,0,0,0,0,0,0,0,0,0,0,0,18,1511,0,0,0,5801,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,13353.8416271379,1986,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,11095.3423663214,1986,3989,1168,0,0,0,0,0,7,19,0,0,43,3,505,1525,130,0,234,355,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,CA,Canada,country,North America,56.130366,-106.346771,2264.06901471138,1986,3232177,485197,41368,143316,16014,12084,227099,463181,621960,11666,2285,925591,68747,57273,41146,37255,11952,42792,12761,22442,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,2448.82499139281,1986,12272,775,77,315,11,1,2,581,1752,0,8,860,30,1777,100,3986,193,1066,931,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,CF,Central African Rep.,country,Sub-Saharan Africa,6.611111,20.939444,11868.8110045116,1986,1299,1221,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,TD,Chad,country,Sub-Saharan Africa,15.454166,18.732207,11027.287545388,1986,6810,5371,0,0,0,0,0,0,0,0,0,0,0,1134,305,0,0,0,0,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,8476.33334046106,1986,280571,262541,36,5030,356,150,109,62,59,104,0,53,21,1069,3976,38,67,296,6671,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,12713.7159928997,1986,473270,105324,5442,1092,466,755,952,44520,192640,2247,99,11368,2325,28414,9298,17710,99,40456,6600,3562,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,12758.7240786185,1986,49,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,22,0,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,CN,China,country,East Asia and Pacific,35.86166,104.195397,11660.3114893707,1986,206789,90260,0,4,14,169,92998,49,39,437,0,79,20,2359,9528,0,355,142,40,10651,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,12254.8953461346,1986,5976406,3868695,1385,470,8565,1894,1737664,15497,79041,45551,74,71267,775,15814,22388,2404,148,2257,4825,97840,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,4227.03974725237,1986,540269,443413,0,642,10108,73,2981,278,3430,329,408,682,253,3846,71140,938,239,1346,388,14,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,KM,Comoros,country,Sub-Saharan Africa,-11.875001,43.872219,15131.152745492,1986,167,137,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,CG,"Congo, Rep.",country,Sub-Saharan Africa,-0.228021,15.827659,11930.5653715462,1986,457,383,0,0,0,0,0,0,0,0,0,0,0,44,30,0,0,0,0,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,3272.68638611991,1986,166919,122971,0,95,265,22,23777,103,2714,196,263,10970,96,527,4119,105,163,168,528,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,9528.13940497655,1986,11638,9677,0,118,0,0,0,4,2,0,0,0,0,422,1202,122,0,91,0,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,10432.6242658417,1986,109607,95041,0,9,95,146,40,50,63,0,0,13277,9,808,2,2,20,65,0,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,8243.60931018466,1986,15405,62,0,0,0,0,0,0,0,69,0,0,1420,243,0,39,0,31,0,13541,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,12709.9827210254,1986,204816,195078,0,0,0,0,0,52,0,6868,0,1883,0,152,0,8,0,22,753,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,7496.29773354088,1986,111682,2760,16,9458,751,1936,58255,1109,10444,248,51,13606,4,10243,33,711,21,1494,25,538,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,DJ,Djibouti,country,Middle East and North Africa,11.825138,42.590275,13063.0736911695,1986,3587,3575,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,3219.93825308174,1986,642893,471210,120,1229,5664,121,46269,1135,5725,163,109,58711,330,3300,42051,932,587,1526,4152,146,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,4695.98172079927,1986,397942,374407,0,95,233,40,86,11,298,0,0,631,149,1225,19320,97,259,8,1342,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,10988.7012592759,1986,5048408,4365314,0,3,6650,175,141013,25,54,21390,0,266616,0,22930,163052,118,87,47222,13846,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,2680.24109181114,1986,327828,207687,0,245,0,13,9245,111,464,2604,33,29712,46,503,69698,72,321,35,7004,356,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,13158.2946396878,1986,248419,213942,0,0,2751,36,0,0,0,0,0,0,0,79,10054,0,0,0,21557,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,7832.06184142534,1986,40573,18362,0,432,167,786,3162,1047,10966,2359,22,40,0,2915,3,184,0,2,2,124,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,FR,France,country,Europe and Central Asia,46.227638,2.213749,7674.17131253648,1986,881481,28825,380,7324,19092,13184,444790,7741,64286,6501,39,211392,309,14733,4181,1325,119,49324,347,7708,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,5693.9683946593,1986,385,0,0,31,213,0,0,0,9,0,0,0,0,8,0,124,0,0,0,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,11603.6829840653,1986,745,418,0,0,0,0,0,0,45,0,0,0,0,41,20,0,0,221,0,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,GM,The Gambia,country,Sub-Saharan Africa,13.443182,-15.310139,8277.99405628655,1986,8947,7612,0,0,0,0,0,0,0,0,0,0,0,19,348,0,0,0,968,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,GH,Ghana,country,Sub-Saharan Africa,7.946527,-1.023194,9898.95306641973,1986,58972,48696,0,186,2,0,13,10,0,7336,0,0,0,1389,779,7,0,226,328,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,7727.78742114297,1986,240,50,0,0,0,0,0,14,7,0,0,0,0,58,0,0,0,111,0,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,GR,Greece,country,Europe and Central Asia,39.074208,21.824312,9419.41576295611,1986,238390,3868,0,14,7205,0,207055,361,667,4077,8,13407,262,707,154,57,180,202,24,322,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,GL,Greenland,country,Europe and Central Asia,71.706936,-42.604303,4865.32129217747,1986,19,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,2432.74402422745,1986,325816,216400,0,2043,813,32,325,202,773,110,3,32070,109,1553,62812,72,445,207,7902,390,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,9001.9640041232,1986,48421,47879,0,1,0,0,0,183,14,0,0,4,27,8,12,235,0,40,18,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,5182.31178215859,1986,30097,22470,0,0,157,0,229,10,91,7,0,6212,2,222,187,194,285,117,199,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,3044.47056674424,1986,272819,191255,0,20764,1788,0,4081,1579,818,99,48,3072,39,3152,38712,803,14,1654,4843,112,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,2610.4544004986,1986,179815,120404,192,82,0,7,177,603,4384,129,183,34333,228,1262,14308,375,35,418,2730,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,8661.74794658267,1986,82071,1009,0,0,51,0,18,0,45,0,0,76617,2637,324,0,0,65,0,0,1370,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,5719.9336237285,1986,10556,6845,4,38,249,1,0,231,2073,0,0,318,122,404,7,239,0,25,0,0,0,0,0,0
