sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,6016.56848661753,1986,300,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,AO,Angola,country,Sub-Saharan Africa,-11.202692,17.873887,1491.02695740105,1986,2466,1502,0,0,731,0,0,0,0,0,0,0,0,225,0,0,538,8,0,0,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,10508.3269349029,1986,1939,0,0,0,0,0,0,0,0,0,0,0,2,1937,0,0,0,0,0,0,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,7549.05031208273,1986,4338,0,0,0,0,0,0,0,0,3504,0,0,0,834,0,0,0,0,0,0,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,8109.17417844311,1986,10840,36,4,0,0,0,0,0,20,0,0,0,627,10153,0,0,0,0,0,0,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,4314.65838835337,1986,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,BW,Botswana,country,Sub-Saharan Africa,-22.328474,24.684866,593.855162837344,1986,77298,33635,39,39785,45,0,74,243,81,6,0,607,454,785,1178,75,4,80,184,27,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,6884.20431660631,1986,1214,0,0,0,0,0,0,0,0,0,0,0,759,455,0,0,0,0,0,0,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1743.28578891988,1986,36,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,0,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,CV,Cape Verde,country,Sub-Saharan Africa,16.002082,-24.013197,7006.07039693027,1986,9169,9169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,3467.69911933355,1986,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,CA,Canada,country,North America,56.130366,-106.346771,14501.2591704377,1986,38326,0,1,38000,0,0,0,0,0,0,0,0,58,267,0,0,0,0,0,0,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,CF,Central African Rep.,country,Sub-Saharan Africa,6.611111,20.939444,2991.7155653515,1986,47,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,10320.3548174353,1986,3669,0,0,0,0,0,0,0,0,2015,0,0,132,1522,0,0,0,0,0,0,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,10258.0921736169,1986,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,CN,China,country,East Asia and Pacific,35.86166,104.195397,9974.68785075523,1986,6330,0,0,0,0,0,0,0,0,0,0,0,0,6330,0,0,0,0,0,0,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,CG,"Congo, Rep.",country,Sub-Saharan Africa,-0.228021,15.827659,2548.00412318235,1986,224,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,4819.99531215582,1986,258,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,7780.42326990527,1986,982,0,0,0,0,0,0,0,0,0,0,0,0,982,0,0,0,0,0,0,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,KP,"Korea, Dem. Rep.",country,East Asia and Pacific,40.339852,127.510093,12066.876236161,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,1851.02930291912,1986,11890,7884,0,1947,0,0,80,8,5,262,0,391,0,1000,21,0,196,278,14,0,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,8580.96935462379,1986,2707,0,0,0,0,0,0,0,0,0,0,0,0,2707,0,0,0,0,0,0,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,DJ,Djibouti,country,Middle East and North Africa,11.825138,42.590275,3736.2898873459,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,5105.54003845792,1986,1245,0,0,0,0,0,0,0,0,0,0,0,0,1245,0,0,0,0,0,0,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,3372.62494279558,1986,12119,11458,0,0,0,0,0,0,0,0,0,0,0,661,0,0,0,0,0,0,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,9015.22740639878,1986,250,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,FR,France,country,Europe and Central Asia,46.227638,2.213749,7753.17235165872,1986,2017,0,0,0,99,0,0,0,247,81,0,0,0,1585,0,0,0,0,0,5,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,2788.69432999806,1986,192,0,40,0,0,0,0,107,16,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,GH,Ghana,country,Sub-Saharan Africa,7.946527,-1.023194,4469.05749460163,1986,103,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,GR,Greece,country,Europe and Central Asia,39.074208,21.824312,6511.4858994405,1986,631,0,0,0,0,0,0,0,13,0,0,0,0,618,0,0,0,0,0,0,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,11850.4781371737,1986,192,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0
