sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,1999,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,BY,Belarus,country,Europe and Central Asia,53.709807,27.953389,1999,26,0,0,0,0,0,0,4,12,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,1999,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,CA,Canada,country,North America,56.130366,-106.346771,1999,22,0,0,0,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,CN,China,country,East Asia and Pacific,35.86166,104.195397,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,1999,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,EE,Estonia,country,Europe and Central Asia,58.595272,25.013607,1999,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,FR,France,country,Europe and Central Asia,46.227638,2.213749,1999,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,1999,530,80,283,0,0,0,0,12,10,0,0,0,32,43,5,44,0,15,6,0,0,0,0,0
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,GR,Greece,country,Europe and Central Asia,39.074208,21.824312,1999,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,IR,Iran,country,Middle East and North Africa,32.427908,53.688046,1999,17,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1999,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1999,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,KZ,Kazakhstan,country,Europe and Central Asia,48.019573,66.923684,1999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,1999,161,0,0,0,0,0,0,9,0,0,0,0,0,25,0,127,0,0,0,0,0,0,0,0
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1999,86,0,0,1,0,0,0,0,4,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,LI,Liechtenstein,country,Europe and Central Asia,47.166,9.555373,1999,242,0,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,LT,Lithuania,country,Europe and Central Asia,55.169438,23.881275,1999,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,NG,Nigeria,country,Sub-Saharan Africa,9.081999,8.675277,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,PL,Poland,country,Europe and Central Asia,51.919438,19.145136,1999,15,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,1999,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,RU,Russian Federation,country,Europe and Central Asia,61.52401,105.318756,1999,5741,19,24,38,0,0,0,301,3128,0,7,0,47,1245,6,923,0,0,0,3,0,0,0,0
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,TR,Turkey,country,Europe and Central Asia,38.963745,35.243322,1999,2169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2169,0,0,0,0
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,TM,Turkmenistan,country,Europe and Central Asia,38.969719,59.556278,1999,151,0,0,0,0,0,0,0,5,0,0,0,0,24,0,122,0,0,0,0,0,0,0,0
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,1999,177,0,0,0,0,0,0,0,83,0,0,0,27,5,0,62,0,0,0,0,0,0,0,0
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,AE,United Arab Emirates,country,Middle East and North Africa,23.424076,53.847818,1999,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,1999,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,US,USA,country,North America,37.09024,-95.712891,1999,743,0,0,0,0,0,0,0,80,0,0,0,0,13,0,639,0,0,11,0,0,0,0,0
