sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,AF,Afghanistan,country,South Asia,33.93911,67.709953,1986,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,AL,Albania,country,Europe and Central Asia,41.153332,20.168331,1986,16,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,1986,4052,18,0,4,0,0,0,0,0,0,0,0,0,21,2,0,258,0,4007,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,AO,Angola,country,Sub-Saharan Africa,-11.202692,17.873887,1986,56,1,0,0,0,0,0,0,3,0,0,0,0,2,0,50,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,1986,302,300,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,1986,299,6,0,5,0,0,1,128,6,0,22,0,20,67,0,44,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,1986,133,7,0,4,0,0,0,0,58,0,0,0,7,0,0,57,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,BD,Bangladesh,country,South Asia,23.684994,90.356331,1986,3844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3844,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,1986,3955,1198,0,78,0,0,1,0,180,701,0,326,127,17,92,159,0,0,881,0,195,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,1986,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,BM,Bermuda,country,North America,32.321384,-64.75737,1986,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,1986,2939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,506,2431,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,1986,4221,25,0,3,0,0,1,0,22,0,0,0,492,29,2185,530,0,9,925,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,CV,Cape Verde,country,Sub-Saharan Africa,16.002082,-24.013197,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1986,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541,0,0,11,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,CA,Canada,country,North America,56.130366,-106.346771,1986,1817,335,0,0,0,0,1,186,127,0,7,0,1,49,0,584,0,10,517,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,1986,26,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,1986,732,10,0,15,0,0,5,84,98,0,2,0,17,22,0,89,0,0,390,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,CN,China,country,East Asia and Pacific,35.86166,104.195397,1986,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,948,0,0,8,0,0,0,23,28,0,0,70,0,19,0,106,0,0,694,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,1986,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,CG,"Congo, Rep.",country,Sub-Saharan Africa,-0.228021,15.827659,1986,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,1986,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,46,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,1986,12,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,1986,621,5,0,2,0,0,5,0,12,0,0,0,10,19,0,11,0,0,557,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,1986,2124,905,48,0,0,0,21,0,0,96,0,52,159,757,2,33,0,0,51,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,DJ,Djibouti,country,Middle East and North Africa,11.825138,42.590275,1986,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,53,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,1986,532,0,0,3,0,0,0,0,0,0,0,0,8,17,40,4,7,1,459,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,1986,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,1986,1003,227,0,19,0,0,0,0,0,0,0,0,0,6,0,0,0,0,751,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,964,128,0,47,0,0,4,190,203,0,27,0,48,251,0,66,0,0,0,0,0,0,0,0
