sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,1986,280,64,0,12,0,0,0,0,1,0,0,0,0,14,178,11,0,0,0,0,0,0,0,0
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,1986,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,1986,26,0,0,0,0,0,0,0,0,0,0,0,0,3,0,23,0,0,0,0,0,0,0,0
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,BM,Bermuda,country,North America,32.321384,-64.75737,1986,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,1986,42,0,0,0,0,0,0,0,0,0,2,0,8,6,0,26,0,0,0,0,0,0,0,0
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,CA,Canada,country,North America,56.130366,-106.346771,1986,8442,0,0,8009,0,0,0,27,0,0,2,0,0,17,0,387,0,0,0,0,0,0,0,0
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,1986,404,17,7,9,0,0,0,1,0,0,15,0,0,2,200,153,19,0,0,0,0,0,0,0
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,FR,France,country,Europe and Central Asia,46.227638,2.213749,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,1986,430,106,0,1,0,0,1,2,2,0,0,0,2,8,275,33,102,0,0,0,0,0,0,0
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,1986,31,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,28,0,20,0,0,0,0,0
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,1986,180,80,0,4,0,0,0,0,17,0,0,0,0,4,0,21,0,54,0,0,0,0,0,0
