sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,1998,2955,0,4,0,0,0,0,7,3,0,0,0,2916,25,0,0,0,0,0,0,0,0,0,0
BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1998,138,0,0,100,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,CN,China,country,East Asia and Pacific,35.86166,104.195397,1998,72,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0
BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,CG,"Congo, Rep.",country,Sub-Saharan Africa,-0.228021,15.827659,1998,662,25,0,57,0,0,7,25,0,0,0,0,0,0,0,548,0,0,0,0,0,0,0,0
BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,1998,36,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0
BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,1998,616,0,0,0,0,0,0,0,0,0,0,0,586,30,0,0,0,0,0,0,0,0,0,0
BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1998,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0
BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1998,36,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0
BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,1998,23,0,0,0,0,0,0,0,0,0,0,0,18,5,0,0,0,0,0,0,0,0,0,0
BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,1998,322,0,0,0,0,0,0,0,0,0,0,0,252,70,0,0,0,0,0,0,0,0,0,0
BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,OM,Oman,country,Middle East and North Africa,21.512583,55.923255,1998,34,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0
BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,RW,Rwanda,country,Sub-Saharan Africa,-1.940278,29.873888,1998,866,0,0,825,0,0,0,0,0,0,0,0,0,0,34,7,0,0,0,0,0,0,0,0
BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,ZA,S. Africa,country,Sub-Saharan Africa,-30.559482,22.937506,1998,79,0,0,0,0,0,0,0,0,0,0,0,50,29,0,0,0,0,0,0,0,0,0,0
BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,1998,144,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0
BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1998,3558,0,0,0,0,0,0,0,0,0,0,0,3558,0,0,0,0,0,0,0,0,0,0,0
BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,AE,United Arab Emirates,country,Middle East and North Africa,23.424076,53.847818,1998,29,0,0,0,0,0,0,0,11,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
