sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,1992,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,1992,26,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,BF,Burkina Faso,country,Sub-Saharan Africa,12.238333,-1.561593,1992,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,CV,Cape Verde,country,Sub-Saharan Africa,16.002082,-24.013197,1992,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,CG,"Congo, Rep.",country,Sub-Saharan Africa,-0.228021,15.827659,1992,5,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1992,2308,0,0,0,0,0,0,0,0,0,0,2308,0,0,0,0,0,0,0,0,0,0,0,0
BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,FR,France,country,Europe and Central Asia,46.227638,2.213749,1992,11,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,1992,153,95,4,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,1992,723,0,0,0,0,0,720,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,GH,Ghana,country,Sub-Saharan Africa,7.946527,-1.023194,1992,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,GR,Greece,country,Europe and Central Asia,39.074208,21.824312,1992,5800,0,0,0,0,0,5800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
