sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,AF,Afghanistan,country,South Asia,33.93911,67.709953,1986,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,1986,216047,0,0,201387,0,0,0,0,0,0,0,0,11110,3550,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,AO,Angola,country,Sub-Saharan Africa,-11.202692,17.873887,1986,30106,747,9,260,4,0,1,106,342,0,0,0,42,623,19561,1446,0,6772,193,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,1986,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,1986,131622,4,284,188,0,316,308,4857,88828,3293,844,1273,21942,1589,345,2436,1,5028,87,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,1986,11863,0,0,202,0,1097,0,0,4302,0,1,34,3670,1745,726,0,0,86,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,1986,22756,0,0,0,0,0,0,0,167,0,15,0,21552,878,0,0,0,144,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,1986,16776,0,0,16776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,1986,7672,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,7660,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,BD,Bangladesh,country,South Asia,23.684994,90.356331,1986,13201,0,0,13200,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1986,192,0,0,0,0,0,0,0,109,0,0,0,9,41,33,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,1986,234541,0,0,0,0,15,82055,0,112395,0,47,31287,8225,165,0,3,0,344,5,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,1986,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,BM,Bermuda,country,North America,32.321384,-64.75737,1986,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,1986,12454,1370,607,3434,0,0,113,618,115,38,0,143,2132,666,804,2352,0,47,15,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,1986,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,1986,103109,0,0,16595,0,0,0,0,0,0,0,84200,2104,210,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,CV,Cape Verde,country,Sub-Saharan Africa,16.002082,-24.013197,1986,2823,2,0,2577,0,0,0,12,26,0,0,0,1,0,0,205,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,CA,Canada,country,North America,56.130366,-106.346771,1986,71527,60,0,0,0,1848,0,2630,44520,650,79,44,15872,148,787,1523,0,3366,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1986,20028,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,28,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,1986,17162,80,18,5469,0,2,12,0,1065,33,45,11,5615,2018,2421,180,0,192,1,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,1986,15361,0,0,87,0,0,0,0,261,0,33,24,12,2375,9822,0,0,2747,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,1986,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,CN,China,country,East Asia and Pacific,35.86166,104.195397,1986,96533,0,0,0,0,0,0,0,25,184,0,5,500,5743,90076,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,21150,0,0,20732,0,0,0,0,0,124,0,38,180,76,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,1986,1055,0,0,374,0,0,0,0,0,0,103,56,0,522,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,KM,Comoros,country,Sub-Saharan Africa,-11.875001,43.872219,1986,491,0,0,0,0,0,0,0,0,0,0,0,0,491,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,CG,"Congo, Rep.",country,Sub-Saharan Africa,-0.228021,15.827659,1986,338,51,1,30,11,0,0,5,6,3,0,107,3,17,13,84,0,1,6,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,1986,170,0,0,0,0,0,0,0,0,0,0,38,0,130,0,2,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,1986,4310,43,0,0,0,0,0,0,0,0,0,4043,1,23,200,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,1986,1963,0,0,0,0,9,0,0,160,0,0,0,1784,0,0,0,0,10,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,88369,0,0,0,0,0,0,0,0,99,0,86644,736,0,890,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,1986,107,0,0,78,0,0,0,0,0,0,0,0,0,0,0,15,0,14,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,1986,26515,0,0,6614,0,0,0,2,321,0,0,0,13885,5331,336,0,0,26,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,1986,78,7,0,0,0,0,0,0,0,0,2,0,0,18,0,0,0,51,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1986,22699,0,0,0,0,0,0,0,0,0,30,3732,0,7,18930,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,1986,108,0,0,28,0,0,0,0,0,0,0,0,0,4,70,0,0,0,6,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,1986,294814,0,0,185500,0,0,1000,0,0,0,0,12500,1000,310,86500,0,0,8004,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,FJ,Fiji,country,East Asia and Pacific,-16.578193,179.414413,1986,58,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,11116,0,0,43,0,0,0,320,2183,300,0,2,7638,620,0,0,0,10,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,FR,France,country,Europe and Central Asia,46.227638,2.213749,1986,135680,0,18,10710,0,126,29459,45,4937,90,3358,33256,23779,5503,22318,0,0,2009,72,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,1986,140,0,0,0,6,0,0,0,3,0,0,130,0,1,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,1986,27,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,GH,Ghana,country,Sub-Saharan Africa,7.946527,-1.023194,1986,5132,0,0,4000,0,0,0,0,0,1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1986,185,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,159,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,GR,Greece,country,Europe and Central Asia,39.074208,21.824312,1986,16803,0,0,0,0,11,885,0,1171,0,0,0,13317,1299,0,0,0,117,3,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,1986,27,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,1986,13,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,1986,54,0,0,0,0,0,0,0,0,0,0,0,0,24,0,30,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,GW,Guinea-Bissau,country,Sub-Saharan Africa,11.803749,-15.180413,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,1986,150,7,0,0,0,0,0,21,0,0,0,1,2,59,56,0,0,4,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1986,492,0,0,55,0,0,0,218,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,1986,6,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,1986,171781,0,0,0,0,0,0,0,34,100,0,152522,19125,0,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,1986,623,0,0,2,0,0,0,0,0,0,0,0,621,0,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,IN,India,country,South Asia,20.593684,78.96288,1986,464419,0,0,364400,0,0,0,0,0,0,212,0,0,407,99400,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,1986,90714,0,0,27150,0,0,0,0,26,2791,0,60054,0,642,51,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,IR,Iran,country,Middle East and North Africa,32.427908,53.688046,1986,181800,0,0,181600,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,IQ,Iraq,country,Middle East and North Africa,33.223191,43.679291,1986,266192,319,3,196081,34,1,5,349,65,5,0,0,827,813,118,222,0,67304,46,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,1986,12585,0,0,6093,0,1,0,0,74,0,2,6243,52,1,0,0,0,119,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,IL,Israel,country,Middle East and North Africa,31.046051,34.851612,1986,12114,0,0,0,0,0,0,0,11483,95,0,63,459,0,14,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1986,86294,0,1,21039,0,195,0,0,1012,29,201,5,47527,2656,3352,30,0,10221,26,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,1986,3226,0,0,3,0,0,0,0,0,126,0,0,18,33,0,0,0,3046,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,266905,8,0,20145,0,71,113850,65,18253,1597,32,783,81593,2423,1304,3839,0,21059,1883,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,1986,14069,0,0,13096,0,0,0,0,0,0,0,0,47,5,0,0,0,921,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,1986,26623,0,0,26600,0,0,0,0,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,KW,Kuwait,country,Middle East and North Africa,29.31166,47.481766,1986,38515,76,0,0,0,0,0,0,19447,0,20,0,260,19,154,45,0,18494,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,3505,0,0,0,0,34,0,0,3,0,0,0,3248,17,0,0,0,203,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,LR,Liberia,country,Sub-Saharan Africa,6.428055,-9.429499,1986,52,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,LY,Libya,country,Middle East and North Africa,26.3351,17.228331,1986,51396,0,0,0,0,0,0,0,0,0,0,51396,0,0,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,1986,205,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,1986,626,0,0,0,0,0,0,0,117,0,3,0,0,425,0,0,0,81,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,MT,Malta,country,Middle East and North Africa,35.937496,14.375416,1986,259,0,0,5,0,4,20,0,0,0,0,0,16,214,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,MR,Mauritania,country,Sub-Saharan Africa,21.00789,-10.940835,1986,192,80,0,0,0,0,0,0,0,0,43,0,38,0,31,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,MU,Mauritius,country,Sub-Saharan Africa,-20.348404,57.552152,1986,58,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,28,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,1776,0,104,0,0,37,0,0,0,0,647,255,0,627,106,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,MS,Montserrat,country,Latin America and the Caribbean,16.7425,-62.1874,1986,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
