sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
CA,Canada,country,North America,56.130366,-106.346771,AL,Albania,country,Europe and Central Asia,41.153332,20.168331,1986,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,1986,422743,342721,0,0,5835,0,80,0,57,0,0,0,0,69,22908,0,0,0,50388,685,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,AO,Angola,country,Sub-Saharan Africa,-11.202692,17.873887,1986,2181,330,0,0,1653,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,1986,960,0,0,0,100,0,75,0,0,0,0,0,0,152,0,454,84,0,179,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,1986,16213,328,7949,172,547,0,155,2542,1403,0,106,0,0,2590,38,69,0,64,250,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,1986,1107,636,0,17,73,0,8,9,0,0,0,0,0,264,0,54,0,46,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,1986,6965,3607,551,1048,0,0,0,208,41,0,4,22,26,202,17,201,0,622,416,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,1986,306,151,62,0,0,0,10,36,0,0,2,0,0,45,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,BD,Bangladesh,country,South Asia,23.684994,90.356331,1986,325735,323489,0,0,56,0,2190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1986,14588,2412,8971,292,76,3,15,285,141,0,98,35,88,332,27,32,0,1722,59,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,1986,192792,66971,0,261,10176,20,89032,55,871,284,11,13553,0,1881,6767,224,0,1975,112,599,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,1986,1165,562,0,0,0,0,0,347,5,0,2,0,0,23,89,2,0,102,33,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,1986,175,0,0,0,160,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,BM,Bermuda,country,North America,32.321384,-64.75737,1986,5809,1374,1278,895,0,2,0,465,112,0,9,662,27,233,18,93,0,351,290,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,1986,22081,21342,0,0,150,0,0,0,0,0,0,0,0,2,333,0,0,0,254,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,1986,850075,846701,0,0,1511,0,54,0,50,0,2,0,0,73,0,8,5,68,1608,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,1986,303580,303558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1986,34,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,14,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,1986,1539,445,0,68,0,0,0,0,39,0,0,0,2,448,38,0,13,161,338,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,1986,57169,9420,171,111,56,0,16352,97,652,0,29,1875,92,4581,19156,26,0,3519,509,523,0,0,0,0
