sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,2561.1054714231,1986,3884,0,0,0,0,0,0,0,0,0,0,0,3884,0,0,0,0,0,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,4857.04801778005,1986,1339,0,0,0,0,0,0,126,37,0,0,0,961,206,0,9,0,0,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,7493.69850361357,1986,77,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,CF,Central African Rep.,country,Sub-Saharan Africa,6.611111,20.939444,952.274531744667,1986,1397,82,0,132,0,0,0,0,0,0,0,0,58,22,1,1100,0,0,2,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,TD,Chad,country,Sub-Saharan Africa,15.454166,18.732207,1137.22469579898,1986,973,339,142,51,5,65,0,0,12,160,4,0,146,7,0,41,0,1,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,11552.6703763507,1986,5824,0,0,0,0,0,0,0,0,5824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,CG,"Congo, Rep.",country,Sub-Saharan Africa,-0.228021,15.827659,929.516885524628,1986,2258,415,20,435,59,2,41,5,0,0,0,5,157,133,0,986,0,0,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,1975.92850794525,1986,12000,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,1644.40395428786,1986,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,5448.6533778453,1986,4982,0,0,0,0,0,0,0,11,0,0,4862,0,109,0,0,0,0,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,GQ,Equatorial Guinea,country,Sub-Saharan Africa,1.650801,10.267895,677.407324316776,1986,1836,633,11,8,0,0,1,32,13,0,0,0,7,13,11,1037,10,36,34,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,FR,France,country,Europe and Central Asia,46.227638,2.213749,4433.48038115525,1986,77216,10,157,0,0,0,2,1426,40179,3125,28,0,15748,15440,1101,0,0,0,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,913.615795788296,1986,7334,493,154,250,23,131,221,378,188,0,17,0,1078,425,2,3974,0,0,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,2443.09829030048,1986,800,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,4481.69249661498,1986,585,0,0,0,0,0,0,0,0,0,0,0,585,0,0,0,0,0,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,5452.41118825635,1986,2000,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
