sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,AD,Andorra,country,Europe and Central Asia,42.546245,1.601554,1986,35,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,1986,2048,0,0,0,0,0,0,0,0,0,0,0,2038,10,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,1986,209,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,1986,89,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,1986,22769,0,39,0,0,0,150,146,20245,0,5,0,2073,111,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,1986,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,1986,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,1986,105,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,CA,Canada,country,North America,56.130366,-106.346771,1986,2160,0,243,0,0,0,1,147,102,0,10,0,1632,24,0,1,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,591,0,0,0,0,0,0,0,0,0,0,0,402,0,0,1,0,188,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,1986,918,0,259,0,0,0,14,84,305,0,0,0,87,36,1,0,0,19,113,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,1986,243,0,0,0,0,0,0,0,0,0,4,0,213,26,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1986,10575,10500,0,0,0,0,0,0,0,0,0,73,0,2,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,1986,39,0,6,0,0,0,0,0,1,0,0,31,0,0,0,0,0,0,1,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,1986,5188,248,0,212,3106,0,0,48,216,0,92,557,111,361,0,0,0,180,57,0,0,0,0,0
