sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,AF,Afghanistan,country,South Asia,33.93911,67.709953,1986,50,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,40,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,AL,Albania,country,Europe and Central Asia,41.153332,20.168331,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,1986,13351,1305,2610,1,0,0,0,1,0,0,0,0,0,2,9202,220,60,4,6,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,AD,Andorra,country,Europe and Central Asia,42.546245,1.601554,1986,668,452,0,0,0,0,1,0,1,0,0,0,7,3,24,76,0,34,70,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,AO,Angola,country,Sub-Saharan Africa,-11.202692,17.873887,1986,1178,17,18,48,0,0,0,3,2,0,0,21,1,4,2,903,0,142,17,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,1986,505,2,0,0,0,0,0,1,14,0,0,0,1,60,0,305,0,121,1,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,1986,392,9,0,0,0,0,0,0,0,0,0,0,0,375,3,5,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,1986,4287,1122,0,74,0,0,2,13,48,0,0,0,30,53,20,598,0,256,2071,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,1986,5923,265,2,248,1,0,12,39,3,0,4,297,23,4076,172,348,0,58,375,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,1986,1974,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1698,0,256,10,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,1986,7276,202,3,0,0,0,0,143,16,0,0,5,0,36,122,980,0,2753,3016,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,BD,Bangladesh,country,South Asia,23.684994,90.356331,1986,10008,0,0,0,0,0,0,0,0,0,0,0,0,7,0,235,0,0,9766,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1986,88,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,65,16,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,1986,201803,150578,0,31,0,0,2784,524,26,2,0,3473,419,4644,2302,24541,0,6167,6255,0,57,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,1986,963,19,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,511,307,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,1986,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,BM,Bermuda,country,North America,32.321384,-64.75737,1986,846,5,1,1,0,0,0,18,11,0,0,0,0,1,9,317,0,384,99,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,1986,419,101,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,292,10,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,BW,Botswana,country,Sub-Saharan Africa,-22.328474,24.684866,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,1986,20502,79,0,0,0,0,0,0,0,0,0,0,0,142,243,94,0,12850,7094,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,BN,Brunei Darussalam,country,,4.535277,114.727669,1986,1313,42,1,0,0,0,0,4,1,0,0,0,0,59,0,0,0,869,337,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,1986,345,11,0,0,0,0,0,0,1,0,0,40,0,1,0,169,2,20,3,100,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,BF,Burkina Faso,country,Sub-Saharan Africa,12.238333,-1.561593,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1986,58,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,8,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,CV,Cape Verde,country,Sub-Saharan Africa,16.002082,-24.013197,1986,2523,13,0,2400,0,0,0,0,0,0,0,0,0,72,0,7,0,28,3,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1986,1540,15,1,0,0,0,0,0,0,0,0,0,0,3,0,94,0,1427,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,CA,Canada,country,North America,56.130366,-106.346771,1986,20458,2108,0,3809,0,5,27,16,457,0,0,21,265,1702,1,860,0,6623,4564,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,CF,Central African Rep.,country,Sub-Saharan Africa,6.611111,20.939444,1986,32,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,1986,51,1,0,0,0,0,0,0,0,0,0,0,0,7,1,3,0,14,25,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,1986,12477,2258,0,14,0,0,0,1,0,0,0,2,14,651,22,103,0,5848,3564,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,CN,China,country,East Asia and Pacific,35.86166,104.195397,1986,84,1,0,0,0,0,0,0,0,0,0,0,0,11,0,2,0,0,70,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,9501,36,0,0,0,0,0,40,8,0,0,3,3,219,228,0,36,7,8957,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,1986,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,KM,Comoros,country,Sub-Saharan Africa,-11.875001,43.872219,1986,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,CG,"Congo, Rep.",country,Sub-Saharan Africa,-0.228021,15.827659,1986,163,17,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,41,41,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,1986,112,0,0,0,0,0,0,0,0,0,0,0,0,1,2,18,0,91,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,1986,1988,113,0,0,0,0,0,0,0,0,0,0,1,8,0,53,0,1716,97,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,1986,97,0,0,0,0,0,0,0,0,0,0,0,0,1,0,67,0,29,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,1986,4988,32,0,1950,0,0,1,5,22,0,0,445,8,69,265,80,9,1727,384,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,KP,"Korea, Dem. Rep.",country,East Asia and Pacific,40.339852,127.510093,1986,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,1986,1724,0,0,0,0,0,0,0,0,0,0,0,3,0,0,20,0,1632,69,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,DJ,Djibouti,country,Middle East and North Africa,11.825138,42.590275,1986,1932,70,0,0,0,0,0,0,0,0,0,0,0,4,0,760,0,0,1098,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,1986,72,0,0,0,0,0,0,0,0,0,0,0,0,5,0,13,0,54,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1986,824,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,816,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,1986,186,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,175,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,1986,32702,51,4,30,0,4,2,1,8,0,1,11821,7,131,175,57,501,13881,6529,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,1986,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,GQ,Equatorial Guinea,country,Sub-Saharan Africa,1.650801,10.267895,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,1986,5806,5072,0,0,135,0,0,0,0,0,0,0,0,121,0,72,0,4,402,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,FK,Falkland Islands,country,,-51.796253,-59.523613,1986,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,12,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,FO,Faroe Islands,country,Europe and Central Asia,61.892635,-6.911806,1986,18230,2093,604,1547,0,9,37,1398,1747,5,12,3879,423,837,409,1344,0,1447,2439,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,66924,15216,2,1222,20,1,216,499,1380,22,16,25430,529,19283,477,1536,8,226,620,229,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,FR,France,country,Europe and Central Asia,46.227638,2.213749,1986,140949,7803,1678,51,243,0,1472,1278,273,102,4,2478,359,27114,4135,9772,6,82396,1554,237,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,1986,139,3,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,51,10,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,PF,French Polynesia,country,East Asia and Pacific,-17.679742,-149.406843,1986,1112,38,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1015,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,1986,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,30,4,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,GM,The Gambia,country,Sub-Saharan Africa,13.443182,-15.310139,1986,4335,13,0,3900,0,0,0,0,0,0,0,61,0,58,2,7,2,104,190,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,GH,Ghana,country,Sub-Saharan Africa,7.946527,-1.023194,1986,3889,70,0,0,0,0,0,0,0,0,0,0,0,0,0,3788,0,26,5,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1986,1213,20,0,552,0,0,0,0,8,0,0,0,0,2,5,69,0,526,31,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,GR,Greece,country,Europe and Central Asia,39.074208,21.824312,1986,29022,65,0,95,2,0,0,0,8,0,0,565,154,501,1199,146,0,16994,9272,21,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,GL,Greenland,country,Europe and Central Asia,71.706936,-42.604303,1986,41707,3665,1881,1314,2,24,39,1358,2889,8,4,270,711,1612,654,19747,0,3882,3647,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,1986,229,1,0,0,0,0,0,0,5,0,0,0,1,19,0,6,0,145,52,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,1986,428,12,0,0,0,0,0,0,0,0,0,0,0,1,0,233,0,176,6,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,1986,127,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,118,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,1986,552,9,0,0,0,0,0,0,0,0,0,0,0,0,1,133,0,406,3,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,GW,Guinea-Bissau,country,Sub-Saharan Africa,11.803749,-15.180413,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,1986,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1986,701,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,206,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,1986,1037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,280,751,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,1986,90,8,0,0,0,0,0,0,0,0,0,0,4,8,0,68,20,1,1,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,1986,33881,1784,376,10925,3,12,111,676,991,24,43,15096,448,876,1543,940,0,22,9,2,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,IN,India,country,South Asia,20.593684,78.96288,1986,41734,1,0,41200,0,0,0,2,1,0,0,0,6,196,2,136,0,91,99,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,1986,232,0,0,0,0,0,0,0,1,0,0,0,0,10,2,2,17,5,212,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,IR,Iran,country,Middle East and North Africa,32.427908,53.688046,1986,91503,0,0,14000,0,0,0,0,0,0,0,0,0,238,1,43,0,0,77221,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,IQ,Iraq,country,Middle East and North Africa,33.223191,43.679291,1986,1013,0,0,1,0,0,0,0,3,0,0,0,75,204,72,73,0,372,213,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,1986,19632,6963,0,195,1524,0,0,2,1493,0,3,5620,27,1731,87,545,0,1145,223,0,74,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,IL,Israel,country,Middle East and North Africa,31.046051,34.851612,1986,29775,17,0,28137,0,0,0,3,0,0,0,581,1,10,0,190,0,3,833,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1986,209579,7588,1434,132,24,0,4,9713,15,2,0,950,1332,18291,2058,14688,0,138156,11097,4095,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,1986,1333,1080,0,0,0,0,0,0,0,0,0,0,0,160,0,1,0,24,68,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,116766,14159,0,1217,0,0,0,3,49,0,0,4,218,1992,185,700,0,87554,10685,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,1986,8206,206,0,1,684,1,0,27,10,0,1,220,7,5,326,28,0,1023,5667,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,1986,2476,0,0,0,0,0,0,0,0,0,0,0,0,221,2218,14,0,23,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,KW,Kuwait,country,Middle East and North Africa,29.31166,47.481766,1986,18426,296,4,9,0,0,0,348,90,0,0,2,59,90,258,241,0,11054,5975,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,5298,62,0,0,0,0,0,0,0,0,0,0,1,88,70,89,0,2106,2882,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,LR,Liberia,country,Sub-Saharan Africa,6.428055,-9.429499,1986,4803,29,2,20,0,0,0,31,0,0,0,160,5,181,999,366,0,2476,534,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,LY,Libya,country,Middle East and North Africa,26.3351,17.228331,1986,5339,539,1802,1,0,1,129,2,2,0,0,1947,1,30,9,47,53,14,815,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,1986,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,34,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,1986,610,192,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,301,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,1986,8674,904,0,5,0,0,0,1,1,0,0,0,0,1097,11,3,3,655,5997,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,MV,Maldives,country,South Asia,3.202778,73.22068,1986,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,2,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,1986,507,189,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,305,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,MT,Malta,country,Middle East and North Africa,35.937496,14.375416,1986,9084,25,1,6401,0,0,0,77,76,0,0,789,7,42,73,28,0,1003,562,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,MR,Mauritania,country,Sub-Saharan Africa,21.00789,-10.940835,1986,218,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,MU,Mauritius,country,Sub-Saharan Africa,-20.348404,57.552152,1986,210,2,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,63,137,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,160,0,0,0,0,0,0,0,0,0,0,0,0,16,0,10,0,29,105,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,MN,Mongolia,country,East Asia and Pacific,46.862496,103.846656,1986,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,1986,4278,8,3086,0,0,0,2,0,0,0,0,5,16,5,0,9,28,0,1147,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,MZ,Mozambique,country,Sub-Saharan Africa,-18.665695,35.529562,1986,452,20,0,40,0,0,0,0,0,0,0,0,0,34,0,227,0,31,100,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,MM,Myanmar,country,East Asia and Pacific,21.913965,95.956223,1986,552,0,0,0,0,0,0,0,0,0,0,0,0,498,0,4,0,0,50,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,NP,Nepal,country,South Asia,28.394857,84.124008,1986,56,0,0,0,0,0,0,0,1,0,0,0,0,0,0,42,0,8,5,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,1986,278641,120277,20,1110,29077,1,62920,86,446,117,1012,26466,1226,15614,9757,997,3,792,8632,0,91,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1986,430,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,420,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,1986,491,17,0,2,0,0,1,0,9,0,1,0,13,3,0,345,2,22,78,0,0,0,0,0
