sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,1995,1428,0,14,0,0,0,56,84,1232,0,17,0,0,1,0,24,0,0,0,0,0,0,0,0
DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,1995,18,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1995,56,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,1995,41,0,0,0,0,0,2,3,30,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0
DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,1995,3,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,1995,1880,0,1,2,0,0,107,68,1675,0,17,2,5,3,0,0,0,0,0,0,0,0,0,0
DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,1995,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,MS,Montserrat,country,Latin America and the Caribbean,16.7425,-62.1874,1995,78,0,0,0,0,0,4,5,66,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,PR,Puerto Rico,country,Latin America and the Caribbean,18.220833,-66.590149,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
