sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,1986,30687,0,0,29508,0,0,0,2,0,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,1986,37,0,0,0,0,0,0,0,0,0,34,0,0,3,0,0,0,0,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,1986,48,0,0,0,0,0,0,14,3,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,1986,1446,0,1,0,0,0,0,490,14,939,0,0,0,2,0,0,0,0,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,1986,1186,0,146,5,0,0,0,833,194,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,1986,3333,0,6,0,0,0,48,590,3,1924,12,100,0,650,0,0,0,0,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,1986,30,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,1986,8936,0,0,6300,0,0,0,0,0,2636,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,CA,Canada,country,North America,56.130366,-106.346771,1986,874,0,0,0,0,0,0,135,658,0,15,0,0,66,0,0,0,0,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,1986,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,CG,"Congo, Rep.",country,Sub-Saharan Africa,-0.228021,15.827659,1986,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,1986,127,0,0,0,0,0,0,2,0,0,11,0,0,114,0,0,0,0,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,KP,"Korea, Dem. Rep.",country,East Asia and Pacific,40.339852,127.510093,1986,2946,0,0,0,0,0,0,0,0,2946,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,1986,1026,0,202,630,0,0,0,104,28,0,16,0,0,40,0,6,0,0,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,293,0,0,0,0,0,0,0,45,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,FR,France,country,Europe and Central Asia,46.227638,2.213749,1986,30626,0,779,23050,45,0,18,3679,83,1276,257,0,0,1427,0,0,0,12,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,GR,Greece,country,Europe and Central Asia,39.074208,21.824312,1986,2953,0,0,0,0,0,0,59,0,2812,8,0,0,74,0,0,0,0,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,1986,6257,0,0,0,0,0,80,0,0,6156,0,0,0,21,0,0,0,0,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,1986,1703,0,0,0,0,0,0,0,0,0,1703,0,0,0,0,0,0,0,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,IQ,Iraq,country,Middle East and North Africa,33.223191,43.679291,1986,561,0,0,0,0,0,100,0,0,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,1986,19,0,0,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,IL,Israel,country,Middle East and North Africa,31.046051,34.851612,1986,346,0,0,0,0,0,0,57,0,116,18,0,0,155,0,0,0,0,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1986,59219,0,305,23160,0,0,82,4597,0,24711,196,3937,0,2231,0,0,0,0,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,26767,0,0,0,0,0,20,104,0,26011,500,0,0,132,0,0,0,0,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,1986,7739,6808,329,103,149,0,3,31,33,10,21,0,46,206,0,0,0,0,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,KW,Kuwait,country,Middle East and North Africa,29.31166,47.481766,1986,15798,213,1197,114,1,0,2,12131,1780,0,15,0,0,132,0,0,1,12,201,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,20945,0,18461,0,0,0,325,1685,161,47,61,0,0,205,0,0,0,0,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,1986,1052,0,0,0,0,0,0,27,5,0,1013,0,0,7,0,0,0,0,0,0,0,0,0,0
