sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,1987,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,1987,65,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,1987,3298,0,0,0,146,0,650,0,0,0,0,0,2213,0,0,0,0,260,4,25,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1987,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,CA,Canada,country,North America,56.130366,-106.346771,1987,879,0,0,0,0,0,0,0,0,0,0,0,865,0,0,0,0,0,10,4,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,CN,China,country,East Asia and Pacific,35.86166,104.195397,1987,414,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,14,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,1987,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,KP,"Korea, Dem. Rep.",country,East Asia and Pacific,40.339852,127.510093,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,1987,3189,0,0,0,0,0,0,0,0,3189,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,DJ,Djibouti,country,Middle East and North Africa,11.825138,42.590275,1987,51807,28,2918,37065,2615,0,863,4488,2542,0,236,739,0,0,0,159,0,149,5,0,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1987,826,0,0,0,0,0,0,0,0,0,0,0,796,0,0,0,0,0,0,30,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,FR,France,country,Europe and Central Asia,46.227638,2.213749,1987,3953,0,0,0,0,0,0,56,0,0,0,0,3725,112,0,0,0,0,0,60,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,GH,Ghana,country,Sub-Saharan Africa,7.946527,-1.023194,1987,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,GR,Greece,country,Europe and Central Asia,39.074208,21.824312,1987,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,1987,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,1987,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,IN,India,country,South Asia,20.593684,78.96288,1987,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,1987,50,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,IL,Israel,country,Middle East and North Africa,31.046051,34.851612,1987,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1987,3655,0,0,0,0,0,127,0,0,0,0,0,3042,0,0,0,0,84,14,388,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1987,14476,0,0,0,0,0,0,0,0,0,0,4542,8957,0,0,0,0,20,116,841,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,1987,137,0,0,0,0,0,0,8,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,MR,Mauritania,country,Sub-Saharan Africa,21.00789,-10.940835,1987,206,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,1987,2358,0,0,0,395,0,468,654,0,0,1,0,389,425,0,0,0,0,0,26,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,NO,Norway,country,Europe and Central Asia,60.472024,8.468946,1987,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,1987,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,1987,60,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,RE,Reunion,country,Sub-Saharan Africa,-21.115141,55.536384,1987,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,SA,Saudi Arabia,country,Middle East and North Africa,23.885942,45.079162,1987,4357,3,0,0,2,0,180,0,0,0,30,0,4083,42,0,0,0,15,2,0,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,1987,134,0,0,0,0,0,17,0,0,5,0,0,0,5,0,0,0,0,0,107,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,SD,Sudan,country,Sub-Saharan Africa,12.862807,30.217636,1987,72,0,0,0,0,0,0,0,0,0,3,0,0,3,0,66,0,0,0,0,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,1987,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1987,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,UG,Uganda,country,Sub-Saharan Africa,1.373333,32.290275,1987,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,1987,4606,0,0,0,3632,0,268,56,0,30,0,0,75,33,0,0,0,0,0,512,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,US,USA,country,North America,37.09024,-95.712891,1987,31053,0,0,0,99,0,4780,0,0,0,5,0,25781,53,0,29,0,0,11,295,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,RU,Russian Federation,country,Europe and Central Asia,61.52401,105.318756,1987,9737,0,0,0,0,0,5079,0,0,0,0,1650,3000,0,0,0,0,0,0,8,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,BA,Bosnia & Herzegovina,country,Europe and Central Asia,43.915886,17.679076,1987,223,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,23,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,1988,84,0,0,0,0,0,17,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,1988,6060,0,0,0,0,0,0,0,0,0,0,0,6060,0,0,0,0,0,0,0,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,1988,4390,0,0,0,0,0,38,0,0,0,0,0,4157,0,0,0,0,195,0,0,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1988,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,CA,Canada,country,North America,56.130366,-106.346771,1988,416,0,0,0,0,0,0,0,0,0,0,0,416,0,0,0,0,0,0,0,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,1988,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,1988,2305,0,0,0,2305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,KP,"Korea, Dem. Rep.",country,East Asia and Pacific,40.339852,127.510093,1988,34,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,4,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,1988,2422,0,0,0,0,0,0,0,0,0,0,0,17,0,2405,0,0,0,0,0,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,DJ,Djibouti,country,Middle East and North Africa,11.825138,42.590275,1988,48049,0,1603,39139,332,0,10,4500,1653,0,75,513,0,6,30,93,0,95,0,0,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1988,871,0,0,0,0,0,0,0,0,0,0,0,862,0,0,0,0,0,0,9,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,FR,France,country,Europe and Central Asia,46.227638,2.213749,1988,3969,0,0,0,0,0,0,20,0,0,0,0,3761,0,186,0,0,0,0,2,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,GR,Greece,country,Europe and Central Asia,39.074208,21.824312,1988,49,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,45,3,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,IL,Israel,country,Middle East and North Africa,31.046051,34.851612,1988,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1988,2494,0,0,0,0,0,51,0,0,0,1,0,2027,0,0,0,0,0,30,385,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1988,14091,0,0,0,50,0,0,0,0,1430,0,0,11463,0,0,0,0,20,282,846,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,1988,197,0,12,0,0,0,0,0,0,0,177,0,0,0,0,8,0,0,0,0,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,1988,11398,0,0,0,432,0,191,2684,0,0,0,0,5265,0,2750,0,0,0,5,71,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,NO,Norway,country,Europe and Central Asia,60.472024,8.468946,1988,19,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,4,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,1988,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0
