sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,534.516252723209,1991,790,684,0,0,0,0,0,0,0,0,0,103,0,3,0,0,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,5645.43896691718,1991,84,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,246.623674247485,1991,674,0,0,0,0,0,0,0,0,0,9,662,0,3,0,0,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,7282.56721473185,1991,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,758.93972667674,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,CA,Canada,country,North America,56.130366,-106.346771,6203.30032556076,1991,61,0,0,0,0,0,0,1,6,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,7722.00830112332,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,351.807691411793,1991,701,686,0,0,0,0,0,0,0,0,1,0,0,2,0,12,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,FR,France,country,Europe and Central Asia,46.227638,2.213749,7029.92400050714,1991,96,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,7709.25157269583,1991,650,0,0,0,0,0,0,0,0,0,650,0,0,0,0,0,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,529.254810590803,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,1806.06498134574,1991,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,14252.942446543,1991,335,0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,MS,Montserrat,country,Latin America and the Caribbean,16.7425,-62.1874,502.623908060966,1991,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,7372.78957887027,1991,1083,0,2,0,0,0,0,3,75,0,512,0,491,0,0,0,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,KN,St. Kitts and Nevis,country,Latin America and the Caribbean,17.357822,-62.782998,581.182501812021,1991,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,195.441505158768,1991,2369,1821,0,0,0,0,40,0,0,0,0,504,1,0,3,0,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,VC,St. Vincent & Grenadines,country,Latin America and the Caribbean,12.984305,-61.287228,87.3881196126781,1991,477,145,0,100,0,0,0,0,230,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,8297.40422021136,1991,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,7495.08952012922,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,179.768027292594,1991,2794,0,0,0,0,0,39,0,2557,0,27,159,3,9,0,0,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,6915.24969403678,1991,7652,0,1,0,0,0,0,34,7179,0,238,0,193,7,0,0,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,US,USA,country,North America,37.09024,-95.712891,4378.43015582348,1991,946,0,2,0,0,0,0,16,387,0,29,0,499,13,0,0,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,VI,Virgin Islands (U.S.),country,Latin America and the Caribbean,18.335765,-64.896335,762.787832970386,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,UY,Uruguay,country,Latin America and the Caribbean,-32.522779,-55.765835,5024.0835814172,1991,86,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,534.516252723209,2002,2387,1465,0,0,0,0,0,0,0,0,1,902,0,0,0,19,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,5645.43896691718,2002,109,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,BD,Bangladesh,country,South Asia,23.684994,90.356331,15004.8010908036,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,246.623674247485,2002,66,0,0,0,0,0,0,0,2,0,12,0,0,9,0,43,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,7282.56721473185,2002,324,0,0,0,0,0,0,0,0,0,193,0,125,6,0,0,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,3136.97447566259,2002,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,CA,Canada,country,North America,56.130366,-106.346771,6203.30032556076,2002,68,0,0,0,0,0,0,0,4,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,2182.62156028199,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,CN,China,country,East Asia and Pacific,35.86166,104.195397,14475.9349456103,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,1638.18764464503,2002,30,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,7722.00830112332,2002,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,351.807691411793,2002,1419,1246,0,0,0,0,0,0,0,0,1,140,0,32,0,0,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1166.55978883432,2002,30,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,FR,France,country,Europe and Central Asia,46.227638,2.213749,7029.92400050714,2002,263,0,0,0,0,0,0,0,0,0,163,0,100,0,0,0,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,7709.25157269583,2002,384,0,0,0,0,0,0,0,0,0,357,0,25,2,0,0,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,874.947630016557,2002,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,7804.44813454415,2002,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
