sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,3447.33695803177,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,FR,France,country,Europe and Central Asia,46.227638,2.213749,7098.35222112621,1986,572,0,0,0,0,0,0,2,11,0,0,0,0,559,0,0,0,0,0,0,0,0,0,0
GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,1751.51247101381,1986,1552,1340,0,17,0,0,0,0,77,0,0,16,0,0,2,54,0,41,5,0,0,0,0,0
GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,652.436061527549,1986,59,0,36,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,SR,Suriname,country,Latin America and the Caribbean,3.919305,-56.027783,322.294873696475,1986,55,0,15,0,11,0,0,11,0,0,0,0,0,0,0,7,0,0,11,0,0,0,0,0
GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,FR,France,country,Europe and Central Asia,46.227638,2.213749,7098.35222112621,1987,81,0,0,0,0,0,0,0,74,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,1751.51247101381,1987,3263,3196,0,0,0,0,0,0,62,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0
GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,7567.79208803929,1987,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,SR,Suriname,country,Latin America and the Caribbean,3.919305,-56.027783,322.294873696475,1987,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,FR,France,country,Europe and Central Asia,46.227638,2.213749,7098.35222112621,1988,419,206,0,0,0,0,0,1,168,0,0,0,3,8,0,33,0,0,0,0,0,0,0,0
GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,1751.51247101381,1988,2503,2469,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0
GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,652.436061527549,1988,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,7567.79208803929,1988,1596,1596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,SR,Suriname,country,Latin America and the Caribbean,3.919305,-56.027783,322.294873696475,1988,14,2,0,0,0,0,0,2,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0
GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,FR,France,country,Europe and Central Asia,46.227638,2.213749,7098.35222112621,1989,838,320,0,0,0,0,0,2,515,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,1751.51247101381,1989,1424,1371,0,0,0,0,0,0,43,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,7567.79208803929,1989,5541,5541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,15441.0940460466,1989,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,1406.04086056251,1989,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,SR,Suriname,country,Latin America and the Caribbean,3.919305,-56.027783,322.294873696475,1989,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,US,USA,country,North America,37.09024,-95.712891,5693.9683946593,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,7442.83392368246,1991,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,FR,France,country,Europe and Central Asia,46.227638,2.213749,7098.35222112621,1991,1053,710,0,0,3,0,0,0,311,0,0,20,0,0,0,3,0,6,0,0,0,0,0,0
