sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
GL,Greenland,country,Europe and Central Asia,71.706936,-42.604303,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,1986,116,0,0,0,0,0,0,0,0,0,0,0,0,75,0,15,0,19,0,7,0,0,0,0
GL,Greenland,country,Europe and Central Asia,71.706936,-42.604303,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,1988,115,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,3,2,88,0,0,0,0
GL,Greenland,country,Europe and Central Asia,71.706936,-42.604303,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GL,Greenland,country,Europe and Central Asia,71.706936,-42.604303,GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,1988,19,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GL,Greenland,country,Europe and Central Asia,71.706936,-42.604303,CA,Canada,country,North America,56.130366,-106.346771,1989,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
GL,Greenland,country,Europe and Central Asia,71.706936,-42.604303,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,1989,177,15,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,32,0,87,0,0,0,0
GL,Greenland,country,Europe and Central Asia,71.706936,-42.604303,FO,Faroe Islands,country,Europe and Central Asia,61.892635,-6.911806,1989,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
GL,Greenland,country,Europe and Central Asia,71.706936,-42.604303,IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,1989,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
GL,Greenland,country,Europe and Central Asia,71.706936,-42.604303,PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,1989,115,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0
GL,Greenland,country,Europe and Central Asia,71.706936,-42.604303,GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,1989,14,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GL,Greenland,country,Europe and Central Asia,71.706936,-42.604303,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,1990,119,0,0,0,0,0,0,0,0,0,0,0,0,19,0,11,0,18,0,71,0,0,0,0
GL,Greenland,country,Europe and Central Asia,71.706936,-42.604303,ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GL,Greenland,country,Europe and Central Asia,71.706936,-42.604303,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,1991,72,17,0,0,0,0,14,0,6,0,0,0,0,9,0,17,0,9,0,0,0,0,0,0
GL,Greenland,country,Europe and Central Asia,71.706936,-42.604303,IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,1991,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0
GL,Greenland,country,Europe and Central Asia,71.706936,-42.604303,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,1992,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0
GL,Greenland,country,Europe and Central Asia,71.706936,-42.604303,IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,1992,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0
GL,Greenland,country,Europe and Central Asia,71.706936,-42.604303,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,1993,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0
GL,Greenland,country,Europe and Central Asia,71.706936,-42.604303,IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GL,Greenland,country,Europe and Central Asia,71.706936,-42.604303,NO,Norway,country,Europe and Central Asia,60.472024,8.468946,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GL,Greenland,country,Europe and Central Asia,71.706936,-42.604303,US,USA,country,North America,37.09024,-95.712891,1993,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
GL,Greenland,country,Europe and Central Asia,71.706936,-42.604303,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,1994,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0
GL,Greenland,country,Europe and Central Asia,71.706936,-42.604303,IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,1994,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0
GL,Greenland,country,Europe and Central Asia,71.706936,-42.604303,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GL,Greenland,country,Europe and Central Asia,71.706936,-42.604303,US,USA,country,North America,37.09024,-95.712891,1994,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
GL,Greenland,country,Europe and Central Asia,71.706936,-42.604303,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,1995,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,7,0,0,0,0
GL,Greenland,country,Europe and Central Asia,71.706936,-42.604303,IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,1995,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,25,0,0,0,0
GL,Greenland,country,Europe and Central Asia,71.706936,-42.604303,NO,Norway,country,Europe and Central Asia,60.472024,8.468946,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GL,Greenland,country,Europe and Central Asia,71.706936,-42.604303,US,USA,country,North America,37.09024,-95.712891,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
