sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,AO,Angola,country,Sub-Saharan Africa,-11.202692,17.873887,3853.97904051057,1995,19,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,4698.74424359392,1995,1324,0,1,0,0,0,0,0,25,0,0,0,1256,0,0,0,0,0,0,42,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,1320.22866078723,1995,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,CV,Cape Verde,country,Sub-Saharan Africa,16.002082,-24.013197,1692.10114545827,1995,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,FR,France,country,Europe and Central Asia,46.227638,2.213749,4194.44221661375,1995,22925,2,5020,0,0,0,5200,1770,1802,682,0,3250,5160,2,22,0,1,0,15,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,GM,The Gambia,country,Sub-Saharan Africa,13.443182,-15.310139,725.18728042392,1995,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,4943.36791526139,1995,1689,0,0,0,0,0,0,0,0,395,0,0,1294,0,0,0,0,0,0,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,8715.84471260702,1995,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,IN,India,country,South Asia,20.593684,78.96288,9493.11533702067,1995,155,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,4167.19363702819,1995,2192,0,0,0,0,0,0,0,249,744,0,0,1150,0,0,0,0,0,0,49,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,LR,Liberia,country,Sub-Saharan Africa,6.428055,-9.429499,392.674321807166,1995,6,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,LY,Libya,country,Middle East and North Africa,26.3351,17.228331,3369.43237268075,1995,75,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,12299.9849665606,1995,294,0,0,0,0,0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,2446.67353291601,1995,1521,0,0,0,0,0,0,0,8,50,0,2,1461,0,0,0,0,0,0,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,4888.42740265752,1995,2887,0,0,0,0,0,0,87,139,0,0,0,2625,25,0,0,1,0,11,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,3282.09329066613,1995,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,13259.7684462802,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,724.080010697117,1995,647,0,0,0,0,0,0,0,47,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,RS,Serbia,country,Europe and Central Asia,44.016521,21.005859,4808.17242867492,1995,500,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,SL,Sierra Leone,country,Sub-Saharan Africa,8.460555,-11.779889,282.364433067797,1995,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,12565.9477624339,1995,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,3447.58367554001,1995,5722,0,0,0,0,0,4500,0,0,1222,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,4440.73065338202,1995,10599,0,0,0,0,0,0,0,0,477,0,0,10122,0,0,0,0,0,0,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,TG,Togo,country,Sub-Saharan Africa,8.619543,0.824782,1165.22005607396,1995,25,0,0,0,0,0,0,0,0,0,0,0,0,2,0,23,0,0,0,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,5721.77936751011,1995,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,5087.33046196285,1995,265,0,0,0,0,0,0,0,0,0,0,0,261,4,0,0,0,0,0,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,US,USA,country,North America,37.09024,-95.712891,9001.9640041232,1995,31,0,0,0,0,0,0,0,0,0,0,0,0,2,29,0,0,0,0,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,2338.11338479477,1996,324,0,0,0,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,4762.69743864261,1996,120,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,4698.74424359392,1996,12101,0,0,0,0,0,0,3525,1079,0,0,7450,0,0,0,0,0,0,47,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,CV,Cape Verde,country,Sub-Saharan Africa,16.002082,-24.013197,1692.10114545827,1996,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,12930.8777842454,1996,1430,0,0,0,0,0,0,0,0,1430,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,3819.61093980549,1996,1800,0,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,DJ,Djibouti,country,Middle East and North Africa,11.825138,42.590275,5711.68015263785,1996,207,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,FR,France,country,Europe and Central Asia,46.227638,2.213749,4194.44221661375,1996,5895,0,0,0,0,0,1,20,580,249,0,0,5000,4,10,0,0,0,31,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,4943.36791526139,1996,447,0,0,0,0,0,0,200,200,20,0,0,0,10,0,17,0,0,0,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,GH,Ghana,country,Sub-Saharan Africa,7.946527,-1.023194,979.323285557068,1996,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,GW,Guinea-Bissau,country,Sub-Saharan Africa,11.803749,-15.180413,634.135465172124,1996,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,16,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,IL,Israel,country,Middle East and North Africa,31.046051,34.851612,5157.72445449208,1996,270,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,4167.19363702819,1996,1351,0,0,0,0,0,0,0,0,0,0,0,1351,0,0,0,0,0,0,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,LR,Liberia,country,Sub-Saharan Africa,6.428055,-9.429499,392.674321807166,1996,3999,3917,0,5,0,0,0,19,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,12299.9849665606,1996,89,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,1048.67972616371,1996,115,40,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0
