sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,1986,26,0,0,0,0,0,0,0,0,0,0,0,0,20,0,6,0,0,0,0,0,0,0,0
GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1986,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,CA,Canada,country,North America,56.130366,-106.346771,1986,9,0,0,0,0,0,0,4,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,FR,France,country,Europe and Central Asia,46.227638,2.213749,1986,170687,0,30,36757,0,0,0,2441,128489,0,5,0,0,42,0,2912,0,11,0,0,0,0,0,0
GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,1986,1560,360,0,383,0,0,0,0,77,0,0,118,0,1,0,621,0,0,0,0,0,0,0,0
GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,1986,553,156,0,0,0,0,0,22,19,0,0,3,0,55,0,293,0,2,3,0,0,0,0,0
GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1986,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,1986,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,1986,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0
GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,1986,26325,0,0,26325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,1986,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,1986,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,SR,Suriname,country,Latin America and the Caribbean,3.919305,-56.027783,1986,198,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1986,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,US,USA,country,North America,37.09024,-95.712891,1986,572,0,0,0,0,0,0,0,0,0,0,566,0,6,0,0,0,0,0,0,0,0,0,0
GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,1987,98,0,0,0,0,0,0,0,0,0,0,0,0,16,0,82,0,0,0,0,0,0,0,0
GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,CA,Canada,country,North America,56.130366,-106.346771,1987,4,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,1987,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1987,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,FR,France,country,Europe and Central Asia,46.227638,2.213749,1987,102261,1293,38,5000,0,0,0,1350,91425,0,0,0,0,35,0,3102,0,18,0,0,0,0,0,0
GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,1987,2112,80,0,717,0,0,0,0,141,0,0,364,0,6,0,804,0,0,0,0,0,0,0,0
GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,1987,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,1987,162,1,0,0,0,0,0,1,0,0,0,3,0,20,0,137,0,0,0,0,0,0,0,0
GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1987,455,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1987,19,0,0,0,0,0,0,0,0,0,0,0,0,2,0,17,0,0,0,0,0,0,0,0
GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,1987,36,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,34,0,0,0,0
