sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,AF,Afghanistan,country,South Asia,33.93911,67.709953,1986,26,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,AL,Albania,country,Europe and Central Asia,41.153332,20.168331,1986,9270,8167,0,0,0,0,0,10,10,880,0,0,0,3,0,0,0,0,0,200,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,1986,33457,28199,0,0,0,0,0,0,62,0,0,0,0,5196,0,0,0,0,0,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,AO,Angola,country,Sub-Saharan Africa,-11.202692,17.873887,1986,3405,3400,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,1986,7589,184,0,264,0,0,1213,1405,1828,0,0,0,13,815,871,643,0,0,353,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,1986,48866,114,1377,25,0,11,172,7719,36846,538,0,0,1,1353,36,626,0,0,48,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,1986,1425,157,0,15,0,0,22,978,179,0,0,0,2,18,0,54,0,0,0,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,BD,Bangladesh,country,South Asia,23.684994,90.356331,1986,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,1986,245261,190589,0,72,18,65,23481,4606,15052,317,1,1,11,2819,23,8183,0,0,3,20,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,1986,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,1986,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,1986,184,0,0,0,0,0,51,96,0,0,0,0,0,2,13,22,0,0,0,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,1986,54185,439,0,3000,0,0,3372,105,29560,0,0,6988,0,10123,0,124,0,0,0,474,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1986,9,2,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1986,47,4,0,2,0,1,0,0,5,0,0,0,0,0,12,23,0,0,0,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,CA,Canada,country,North America,56.130366,-106.346771,1986,15188,140,0,81,4,1,672,1331,10675,0,1,0,80,115,421,1560,0,0,107,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,1986,15,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,1986,86,3,0,1,0,0,14,0,36,0,0,0,16,10,0,6,0,0,0,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,CN,China,country,East Asia and Pacific,35.86166,104.195397,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,521,0,0,0,0,0,0,0,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,CG,"Congo, Rep.",country,Sub-Saharan Africa,-0.228021,15.827659,1986,254,40,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,1986,33984,469,0,57,72,75,203,79,187,7,8,15112,96,287,14311,3021,0,0,0,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,KP,"Korea, Dem. Rep.",country,East Asia and Pacific,40.339852,127.510093,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,1986,345,0,0,0,0,0,0,104,0,0,0,0,0,240,0,0,0,0,1,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,1986,25144,1150,422,0,0,0,20,5012,14504,0,0,3311,0,229,20,476,0,0,0,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,DJ,Djibouti,country,Middle East and North Africa,11.825138,42.590275,1986,26,0,0,22,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1986,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,1986,27143,298,0,321,0,13,3789,18449,1456,0,0,970,101,716,954,76,0,0,0,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,1986,142,0,0,0,0,0,0,0,140,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,FO,Faroe Islands,country,Europe and Central Asia,61.892635,-6.911806,1986,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,5990,0,0,7,0,0,700,35,4570,0,0,0,0,475,1,202,0,0,0,0,0,0,0,0
