sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,AD,Andorra,country,Europe and Central Asia,42.546245,1.601554,8985.7327470407,1986,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,6641.72597876236,1986,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,15351.4242882275,1986,69,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,9796.84521113942,1986,341,0,0,47,0,0,0,0,0,0,0,0,17,277,0,0,0,0,0,0,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,BD,Bangladesh,country,South Asia,23.684994,90.356331,15643.4347446866,1986,14016,0,0,14016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,8995.53887955375,1986,2781,0,0,22,0,0,52,6,14,325,8,0,2354,0,0,0,0,0,0,0,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,242.348002402514,1986,96,42,0,0,0,0,0,0,0,0,0,1,0,53,0,0,0,0,0,0,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,10799.6255520151,1986,14581,0,0,14581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,CA,Canada,country,North America,56.130366,-106.346771,4695.22595708933,1986,2977,0,0,8,4,0,83,5,976,0,7,0,1869,0,0,0,0,0,0,25,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1105.71382646253,1986,69,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0
