sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,AO,Angola,country,Sub-Saharan Africa,-11.202692,17.873887,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,AW,Aruba,country,Latin America and the Caribbean,12.52111,-69.968338,1997,28471,28471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,1997,1900,0,0,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1997,14328,1946,18,8632,0,1,2888,262,472,0,48,0,10,50,0,1,0,0,0,0,0,0,0,0
GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,1997,63,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,CA,Canada,country,North America,56.130366,-106.346771,1997,629,1,6,1,0,0,5,245,302,0,62,0,0,6,0,1,0,0,0,0,0,0,0,0
GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,1997,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,1997,6152,6152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
