sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,AF,Afghanistan,country,South Asia,33.93911,67.709953,1986,1095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028,67,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,AL,Albania,country,Europe and Central Asia,41.153332,20.168331,1986,13046,0,6654,0,100,0,0,0,0,0,0,0,0,0,4579,0,133,1713,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,1986,3894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2919,3209,685,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,AO,Angola,country,Sub-Saharan Africa,-11.202692,17.873887,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,1986,10459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10459,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,1986,1499,0,0,12,0,0,0,887,337,0,139,0,0,9,0,74,0,0,41,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,1986,167411,24687,0,4756,647,467,3826,10260,62730,0,1581,10196,328,2671,36143,718,12,6921,1480,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,1986,11101,0,0,207,966,68,782,246,414,0,0,0,0,119,19,124,0,7976,180,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,1986,17745,0,0,0,0,0,0,0,6086,0,0,0,0,359,2571,10,0,8719,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,1986,30226,24074,238,38,310,0,0,5271,0,0,0,0,103,17,0,0,36,0,175,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,CA,Canada,country,North America,56.130366,-106.346771,1986,6606,6,0,88,0,0,0,168,3574,0,312,0,62,14,0,2359,0,4,19,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,CF,Central African Rep.,country,Sub-Saharan Africa,6.611111,20.939444,1986,17,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,1986,589,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,572,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,1986,386,0,0,0,0,0,0,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,1986,28092,0,0,0,17324,0,0,0,0,0,0,0,0,0,4580,0,0,6188,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,1986,754,0,0,239,0,0,0,0,0,0,0,0,0,14,30,0,0,471,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,KP,"Korea, Dem. Rep.",country,East Asia and Pacific,40.339852,127.510093,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,1986,4965,8,0,35,52,0,778,1641,896,0,103,0,0,297,0,527,0,628,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,1986,10534,0,0,0,0,0,0,0,106,0,0,0,0,0,6446,0,272,3219,763,0,0,0,0,0
