sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,1986,419,16,0,0,0,0,0,0,0,403,0,0,0,0,0,0,37,0,0,0,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,1986,2912,152,0,73,0,0,131,2302,148,0,2,0,41,0,0,63,0,0,0,0,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,1986,15913,0,0,0,0,0,0,993,13440,202,12,529,0,0,0,0,0,737,0,0,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,1986,27909,154,393,0,0,0,701,1793,19685,4376,5,216,0,20,33,30,1024,425,78,0,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,1986,163,2,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,1986,925,0,0,0,0,0,0,0,925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,978,0,0,0,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,CA,Canada,country,North America,56.130366,-106.346771,1986,4857,303,0,149,0,0,46,2370,1547,0,12,0,131,47,0,244,0,8,0,0,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,1986,979,0,0,0,0,0,0,197,182,158,0,47,0,0,0,288,0,0,107,0,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,1485,0,0,0,0,0,0,0,0,1316,0,169,0,0,0,0,0,0,0,0,0,0,0,0
