sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,15211.9979964303,1986,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,2105.25699421207,1986,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,CA,Canada,country,North America,56.130366,-106.346771,4480.02677923048,1986,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0
IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,12091.0050557316,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,9588.71630070499,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,2612.84511191239,1986,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0
IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,1810.76376400303,1986,5862,0,0,4,0,0,0,0,0,0,0,5192,0,13,225,99,0,322,7,0,0,0,0,0
IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,FO,Faroe Islands,country,Europe and Central Asia,61.892635,-6.911806,691.520320577566,1986,1145,3,0,0,0,0,0,0,0,0,0,290,0,4,16,0,0,829,3,0,0,0,0,0
IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,2205.21266592442,1986,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0
IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,FR,France,country,Europe and Central Asia,46.227638,2.213749,2449.86971874674,1986,167,0,0,0,0,0,0,0,0,3,0,155,0,7,0,0,0,0,0,2,0,0,0,0
IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,GR,Greece,country,Europe and Central Asia,39.074208,21.824312,3890.80267366358,1986,405,0,0,0,0,0,0,0,0,0,0,0,0,405,0,0,0,0,0,0,0,0,0,0
IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,GL,Greenland,country,Europe and Central Asia,71.706936,-42.604303,1212.44553838422,1986,13,6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
