sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,1986,1217,0,0,2,0,0,0,0,14,0,0,0,5,19,0,1031,0,6,140,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,1986,117,0,0,0,0,0,0,0,25,0,23,0,0,3,0,66,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,1986,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,1986,240,0,0,0,0,0,0,0,2,0,0,0,0,8,0,214,0,0,16,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1986,4604,100,0,21,0,0,0,80,2095,0,0,0,67,500,0,1716,0,25,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,1986,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,1986,335,0,0,2,0,0,0,2,4,0,0,0,17,62,0,205,0,43,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,BM,Bermuda,country,North America,32.321384,-64.75737,1986,217,0,1,0,0,0,0,1,74,0,0,0,0,2,0,139,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,BN,Brunei Darussalam,country,,4.535277,114.727669,1986,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,CA,Canada,country,North America,56.130366,-106.346771,1986,4334,96,784,0,0,0,47,348,1456,0,126,0,189,232,0,1056,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1986,436,7,29,0,0,0,0,9,81,0,0,0,1,57,0,231,0,3,18,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,1986,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,1986,128,9,9,0,0,0,0,2,3,0,0,0,0,5,0,100,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,1986,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,1986,389,5,0,2,0,0,0,0,0,0,0,0,4,52,0,298,0,15,13,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1986,15,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,FR,France,country,Europe and Central Asia,46.227638,2.213749,1986,45,0,0,0,0,0,0,3,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,PF,French Polynesia,country,East Asia and Pacific,-17.679742,-149.406843,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,GH,Ghana,country,Sub-Saharan Africa,7.946527,-1.023194,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,1986,218,0,0,0,0,0,0,0,26,0,0,0,1,36,0,88,0,3,64,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,1986,20,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,1986,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,IL,Israel,country,Middle East and North Africa,31.046051,34.851612,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1986,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,1986,86,73,0,0,0,0,0,0,0,0,0,0,0,9,3,1,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,949,0,0,0,0,0,0,0,0,0,76,0,667,0,0,206,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,MS,Montserrat,country,Latin America and the Caribbean,16.7425,-62.1874,1986,60,0,0,0,0,0,0,0,0,0,0,0,1,14,0,21,0,0,24,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,1986,1866,0,3,0,0,0,0,0,872,0,774,0,0,134,0,83,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,1986,348,0,0,0,0,0,0,0,12,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,NO,Norway,country,Europe and Central Asia,60.472024,8.468946,1986,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,PL,Poland,country,Europe and Central Asia,51.919438,19.145136,1986,428,0,0,0,0,0,0,0,0,0,428,0,0,0,0,0,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,KN,St. Kitts and Nevis,country,Latin America and the Caribbean,17.357822,-62.782998,1986,245,0,0,0,0,0,0,0,9,0,0,0,0,54,0,130,0,4,48,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,1986,134,0,0,2,0,0,0,0,11,0,0,0,2,16,0,103,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,VC,St. Vincent & Grenadines,country,Latin America and the Caribbean,12.984305,-61.287228,1986,234,0,0,1,0,0,0,0,0,0,0,0,17,82,0,126,0,0,8,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,1986,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,SR,Suriname,country,Latin America and the Caribbean,3.919305,-56.027783,1986,31,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,1986,40,0,0,0,0,0,0,0,0,0,0,0,0,26,0,14,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1986,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,1986,861,35,0,6,0,0,0,3,183,0,0,0,100,250,65,145,0,74,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,TR,Turkey,country,Europe and Central Asia,38.963745,35.243322,1986,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,TC,Turks and Caicos Islands,country,Latin America and the Caribbean,21.694025,-71.797928,1986,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,1986,162495,70,1255,126243,0,5,11,1464,27096,0,759,0,2104,63,0,3425,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,US,USA,country,North America,37.09024,-95.712891,1986,56297,256,679,17025,7,40,54,8899,6576,2,476,13602,158,1624,18,5643,0,0,1238,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,EH,Western Sahara,country,,24.215527,-12.885834,1986,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,1988,1558,12,0,0,0,0,0,0,6,0,0,0,5,15,0,1376,0,1,143,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,1988,117,0,0,0,0,0,0,0,48,0,23,0,0,2,0,44,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,1988,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,1988,84,0,0,0,0,0,0,1,11,0,0,0,0,6,0,66,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1988,3591,249,0,14,0,0,0,57,1398,0,0,0,71,385,0,1411,0,6,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,1988,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,1988,365,4,0,0,0,0,0,0,1,0,0,0,26,77,0,210,0,47,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,BM,Bermuda,country,North America,32.321384,-64.75737,1988,384,0,22,0,0,0,0,24,75,0,0,0,0,2,0,261,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,1988,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,1988,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,CA,Canada,country,North America,56.130366,-106.346771,1988,3179,243,686,6,0,0,57,279,437,0,106,0,8,275,0,1052,0,0,30,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1988,516,12,28,0,0,0,0,8,41,0,1,0,2,58,0,333,0,8,25,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,1988,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,1988,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,1988,576,8,0,3,0,0,0,0,0,0,0,0,14,47,0,474,0,0,30,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1988,1242,0,0,0,0,0,0,0,0,0,0,1200,0,42,0,0,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,FJ,Fiji,country,East Asia and Pacific,-16.578193,179.414413,1988,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,GM,The Gambia,country,Sub-Saharan Africa,13.443182,-15.310139,1988,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1988,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,GR,Greece,country,Europe and Central Asia,39.074208,21.824312,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,1988,413,24,0,0,0,0,0,0,0,0,0,0,5,53,0,321,0,10,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,1988,16,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1988,153,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0
