sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,AF,Afghanistan,country,South Asia,33.93911,67.709953,1986,61,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,1986,28,1,0,19,0,0,3,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,WS,Samoa,country,East Asia and Pacific,-13.759029,-172.104629,1986,30,0,0,0,0,0,27,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,AO,Angola,country,Sub-Saharan Africa,-11.202692,17.873887,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,1986,4,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,1986,10569,471,0,94,0,0,197,27,0,446,8,11,282,8090,68,875,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,1986,8468,0,0,0,0,0,13,0,15,8,0,0,0,8387,0,45,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,1986,694,44,0,17,0,0,23,4,30,0,0,0,3,29,4,540,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,BD,Bangladesh,country,South Asia,23.684994,90.356331,1986,54,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0
