sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
KN,St. Kitts and Nevis,country,Latin America and the Caribbean,17.357822,-62.782998,AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,2000,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
KN,St. Kitts and Nevis,country,Latin America and the Caribbean,17.357822,-62.782998,BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KN,St. Kitts and Nevis,country,Latin America and the Caribbean,17.357822,-62.782998,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,2000,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0
KN,St. Kitts and Nevis,country,Latin America and the Caribbean,17.357822,-62.782998,VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,2000,158,0,0,28,0,0,0,0,0,0,0,0,0,0,36,94,0,0,0,0,0,0,0,0
KN,St. Kitts and Nevis,country,Latin America and the Caribbean,17.357822,-62.782998,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,2000,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
KN,St. Kitts and Nevis,country,Latin America and the Caribbean,17.357822,-62.782998,DJ,Djibouti,country,Middle East and North Africa,11.825138,42.590275,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KN,St. Kitts and Nevis,country,Latin America and the Caribbean,17.357822,-62.782998,DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,2000,205,55,0,0,0,0,0,0,0,0,0,0,0,0,90,60,0,0,0,0,0,0,0,0
KN,St. Kitts and Nevis,country,Latin America and the Caribbean,17.357822,-62.782998,EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KN,St. Kitts and Nevis,country,Latin America and the Caribbean,17.357822,-62.782998,FR,France,country,Europe and Central Asia,46.227638,2.213749,2000,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,7,0,0,0,0,0,0
KN,St. Kitts and Nevis,country,Latin America and the Caribbean,17.357822,-62.782998,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,2000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
KN,St. Kitts and Nevis,country,Latin America and the Caribbean,17.357822,-62.782998,GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,2000,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
KN,St. Kitts and Nevis,country,Latin America and the Caribbean,17.357822,-62.782998,GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KN,St. Kitts and Nevis,country,Latin America and the Caribbean,17.357822,-62.782998,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KN,St. Kitts and Nevis,country,Latin America and the Caribbean,17.357822,-62.782998,JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
KN,St. Kitts and Nevis,country,Latin America and the Caribbean,17.357822,-62.782998,MS,Montserrat,country,Latin America and the Caribbean,16.7425,-62.1874,2000,144,0,0,4,0,0,0,0,0,0,0,0,0,1,13,124,0,2,0,0,0,0,0,0
KN,St. Kitts and Nevis,country,Latin America and the Caribbean,17.357822,-62.782998,NA,Namibia,country,Sub-Saharan Africa,-22.95764,18.49041,2000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
KN,St. Kitts and Nevis,country,Latin America and the Caribbean,17.357822,-62.782998,NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KN,St. Kitts and Nevis,country,Latin America and the Caribbean,17.357822,-62.782998,KN,St. Kitts and Nevis,country,Latin America and the Caribbean,17.357822,-62.782998,2000,108,0,0,9,0,0,0,0,0,0,0,0,0,1,25,73,0,0,0,0,0,0,0,0
KN,St. Kitts and Nevis,country,Latin America and the Caribbean,17.357822,-62.782998,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,2000,67,15,0,0,0,0,0,0,0,0,0,0,0,0,29,23,0,0,0,0,0,0,0,0
KN,St. Kitts and Nevis,country,Latin America and the Caribbean,17.357822,-62.782998,VC,St. Vincent & Grenadines,country,Latin America and the Caribbean,12.984305,-61.287228,2000,44,1,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0
KN,St. Kitts and Nevis,country,Latin America and the Caribbean,17.357822,-62.782998,TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,2000,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872,0,0,0,0,0,0,0,0
KN,St. Kitts and Nevis,country,Latin America and the Caribbean,17.357822,-62.782998,GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,2000,12282,1,0,12281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KN,St. Kitts and Nevis,country,Latin America and the Caribbean,17.357822,-62.782998,US,USA,country,North America,37.09024,-95.712891,2000,158,0,0,4,1,0,0,4,2,0,0,0,0,4,1,142,0,0,0,0,0,0,0,0
KN,St. Kitts and Nevis,country,Latin America and the Caribbean,17.357822,-62.782998,AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,2001,27,0,0,3,0,0,0,0,0,0,0,0,0,0,21,3,0,0,0,0,0,0,0,0
