sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,1994,511,0,0,0,0,0,0,0,0,0,0,0,1,0,0,45,0,0,465,0,0,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,AZ,Azerbaijan,country,Europe and Central Asia,40.143105,47.576927,1994,2217,0,0,159,0,0,0,0,0,0,0,0,17,0,0,11,0,5,2025,0,0,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,BY,Belarus,country,Europe and Central Asia,53.709807,27.953389,1994,11669,9584,0,280,0,0,3,69,131,100,4,145,341,199,198,546,0,59,10,0,0,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,1994,1556,0,0,0,0,0,0,0,0,347,0,0,0,0,0,1171,0,0,38,0,0,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,1994,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,CA,Canada,country,North America,56.130366,-106.346771,1994,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1994,50,0,0,0,0,0,0,0,0,19,2,0,0,21,0,0,0,8,0,0,0,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,1994,2740,438,0,0,0,0,2119,0,0,0,0,0,0,0,0,58,0,17,108,0,0,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,1994,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,EE,Estonia,country,Europe and Central Asia,58.595272,25.013607,1994,26335,3339,94,1461,0,0,4,46,2029,47,23,2689,22,168,23,2230,226,2,14158,0,0,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1994,26244,26164,0,0,0,0,0,0,0,0,0,0,0,0,28,52,0,0,0,0,0,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,FR,France,country,Europe and Central Asia,46.227638,2.213749,1994,282,0,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,20,0,0,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,1994,123,0,0,0,0,0,0,20,0,100,0,0,0,3,0,0,0,0,0,0,0,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,1994,1536,12,0,25,0,0,0,101,283,103,18,0,71,1,0,223,0,312,192,195,0,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,GW,Guinea-Bissau,country,Sub-Saharan Africa,11.803749,-15.180413,1994,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,1994,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,1994,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,IL,Israel,country,Middle East and North Africa,31.046051,34.851612,1994,38,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,32,0,0,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1994,561,0,0,0,0,0,0,0,0,319,0,0,0,0,0,0,0,0,0,242,0,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,KZ,Kazakhstan,country,Europe and Central Asia,48.019573,66.923684,1994,1109,6,0,137,0,0,0,3,122,0,0,0,47,28,0,280,0,5,481,0,0,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,KG,Kyrgyz Rep.,country,Europe and Central Asia,41.20438,74.766098,1994,731,0,0,599,0,0,0,0,6,0,0,0,0,0,35,74,0,0,17,0,0,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,LR,Liberia,country,Sub-Saharan Africa,6.428055,-9.429499,1994,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,LT,Lithuania,country,Europe and Central Asia,55.169438,23.881275,1994,2282,246,4,47,0,0,6,14,133,403,3,25,198,92,226,807,15,74,2,0,2,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,1994,1832,0,0,0,0,0,0,0,0,165,0,0,7,0,0,342,0,0,1266,52,0,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,NO,Norway,country,Europe and Central Asia,60.472024,8.468946,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,PL,Poland,country,Europe and Central Asia,51.919438,19.145136,1994,3209,1552,0,215,0,0,0,433,57,156,0,0,57,59,357,122,0,109,92,0,0,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,MD,Moldova,country,Europe and Central Asia,47.411631,28.369885,1994,570,0,22,0,0,0,0,0,2,0,0,0,10,6,0,397,0,0,133,0,0,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,RU,Russian Federation,country,Europe and Central Asia,61.52401,105.318756,1994,37829,4668,237,5149,0,0,4,666,2193,0,10,611,2039,2675,578,12676,0,1311,5012,0,0,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,1994,8182,0,0,1629,0,0,0,0,51,0,0,5994,0,0,490,0,0,17,1,0,0,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1994,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,TJ,Tajikistan,country,Europe and Central Asia,38.861034,71.276093,1994,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,69,0,0,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,TM,Turkmenistan,country,Europe and Central Asia,38.969719,59.556278,1994,585,1,0,3,0,0,0,0,4,0,0,0,10,19,4,114,0,420,10,0,0,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,1994,25301,23200,0,130,0,0,0,133,85,387,6,0,115,49,11,1055,0,14,116,0,0,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,1994,2569,0,0,0,0,0,0,0,0,75,0,2154,0,0,0,29,0,0,0,311,0,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,US,USA,country,North America,37.09024,-95.712891,1994,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,UZ,Uzbekistan,country,Europe and Central Asia,41.377491,64.585262,1994,333,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16,0,301,0,0,0,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,1995,13,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,1995,10,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,1995,620,0,0,0,0,0,572,0,0,8,0,0,0,0,0,0,0,0,40,0,0,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,AZ,Azerbaijan,country,Europe and Central Asia,40.143105,47.576927,1995,737,4,0,6,0,0,0,0,0,0,0,0,0,0,35,117,0,0,575,0,0,0,0,0
