sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,941.978697459252,1986,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,16163.4091574138,1986,234,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,2534.08154217544,1986,3708,0,0,0,0,0,20,2657,897,0,83,0,0,51,0,0,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,2291.15402049816,1986,26797,0,99,0,1985,5,894,848,21851,0,279,0,0,493,31,312,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,2684.84674622519,1986,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,7007.93518176443,1986,27,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,BF,Burkina Faso,country,Sub-Saharan Africa,12.238333,-1.561593,2249.21268789882,1986,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,3385.12692763337,1986,564,7,0,0,0,0,30,2,86,0,0,0,0,38,0,401,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,CA,Canada,country,North America,56.130366,-106.346771,7661.29584084696,1986,25331,14,0,3180,15,0,325,440,20923,0,317,0,0,104,0,13,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,CF,Central African Rep.,country,Sub-Saharan Africa,6.611111,20.939444,4040.98735205837,1986,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,11344.6629127389,1986,110,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,CG,"Congo, Rep.",country,Sub-Saharan Africa,-0.228021,15.827659,4304.71028552667,1986,43,0,7,0,0,0,0,2,10,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,2704.44444978598,1986,1464,133,107,0,0,0,0,195,871,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,2743.1347899966,1986,22,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,3012.71001827554,1986,2571,0,1881,0,0,23,0,3,599,0,0,0,0,38,0,27,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,6427.50010710066,1986,53,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,3701.31056824399,1986,7,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,4094.38655051502,1986,22472,0,0,0,0,0,0,6,22454,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,FR,France,country,Europe and Central Asia,46.227638,2.213749,1794.3498987913,1986,429555,0,59142,14378,5755,780,25770,99433,212494,15,536,50,0,8135,61,2952,0,8,46,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,4129.56423873779,1986,1151,23,33,0,0,0,0,89,799,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,GM,The Gambia,country,Sub-Saharan Africa,13.443182,-15.310139,2208.06561367975,1986,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,509.955243011917,1986,33107,0,35,0,0,0,3,50,19,0,0,0,0,0,0,33000,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,GR,Greece,country,Europe and Central Asia,39.074208,21.824312,2731.90575148855,1986,2157,0,0,0,1980,0,0,0,0,0,0,0,0,170,0,0,0,0,7,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,2446.67353291601,1986,408,200,0,0,0,0,0,3,0,0,0,200,0,0,2,0,0,0,3,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,IN,India,country,South Asia,20.593684,78.96288,8472.64538724505,1986,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,IQ,Iraq,country,Middle East and North Africa,33.223191,43.679291,4721.24689085439,1986,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,2408.63151405279,1986,8736,0,0,0,0,0,0,2,34,0,0,8700,0,0,0,0,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,2072.55008530892,1986,29257,0,0,0,17434,230,3085,1193,83,20,105,0,0,7107,0,0,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,11650.0917676843,1986,3738,0,0,0,0,0,0,665,0,0,2801,0,0,272,0,0,0,0,0,0,0,0,0,0
