sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,AL,Albania,country,Europe and Central Asia,41.153332,20.168331,2006,1261,446,14,0,0,0,0,0,1,0,0,150,0,124,0,513,0,0,13,0,0,0,0,0
ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,2006,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,2006,302,9,0,0,0,0,0,0,286,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,2006,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,BA,Bosnia & Herzegovina,country,Europe and Central Asia,43.915886,17.679076,2006,10032,744,0,33,0,4,0,2209,400,0,1,0,24,66,24,5412,0,43,0,1072,0,0,0,0
ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,2006,16,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,CA,Canada,country,North America,56.130366,-106.346771,2006,54,0,0,0,0,0,0,1,6,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0
ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,HR,Croatia,country,Europe and Central Asia,45.1,15.2,2006,1072,9,0,2,0,1,0,0,400,0,0,0,0,1,0,524,0,0,0,135,0,0,0,0
ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,2006,26,0,0,0,0,0,0,11,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,2006,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
