sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,AF,Afghanistan,country,South Asia,33.93911,67.709953,7276.59119478513,2002,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,1300.7853720869,2002,275,0,0,0,0,0,204,2,52,0,12,0,5,0,0,0,0,0,0,0,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,BD,Bangladesh,country,South Asia,23.684994,90.356331,9667.70784645329,2002,1639,0,0,0,0,0,0,0,0,1639,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,3742.91061468858,2002,9864,0,0,0,0,0,0,0,0,9856,0,0,0,0,0,0,0,0,0,8,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,6342.90702026888,2002,1000,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,BF,Burkina Faso,country,Sub-Saharan Africa,12.238333,-1.561593,648.756571586566,2002,2645,1015,60,183,0,0,157,0,0,0,0,0,9,111,1000,110,0,0,0,0,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,2106.52951169688,2002,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,CA,Canada,country,North America,56.130366,-106.346771,9142.11012270203,2002,500,0,0,0,0,0,0,0,0,480,0,0,0,20,0,0,0,0,0,0,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,11963.6088852354,2002,315,0,0,0,0,105,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,CN,China,country,East Asia and Pacific,35.86166,104.195397,10429.5182501962,2002,1624,0,0,0,0,102,175,0,0,1278,0,0,30,5,0,0,0,0,0,34,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,12496.9079489274,2002,3976,0,0,0,0,0,0,0,0,3976,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,1129.22052772098,2002,13449,8360,1069,0,191,892,482,1016,332,225,3,658,0,176,0,0,0,43,0,2,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,KP,"Korea, Dem. Rep.",country,East Asia and Pacific,40.339852,127.510093,11869.6809240161,2002,2149,0,0,0,0,0,0,0,0,2149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,4454.41341958089,2002,1306,33,0,0,0,1163,75,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,3718.11643315214,2002,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,EE,Estonia,country,Europe and Central Asia,58.595272,25.013607,5143.32512783748,2002,400,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,FR,France,country,Europe and Central Asia,46.227638,2.213749,3241.17166878117,2002,13082,126,0,22,14,70,101,147,1167,11336,0,23,0,40,14,0,0,17,0,5,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,2666.47006326235,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,3952.40614002593,2002,16827,0,0,0,0,0,0,0,0,16827,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,GH,Ghana,country,Sub-Saharan Africa,7.946527,-1.023194,1118.7975503016,2002,180,173,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,1048.67972616371,2002,1803,1575,0,199,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,3933.23277335707,2002,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,IN,India,country,South Asia,20.593684,78.96288,8632.90234219321,2002,10846,78,0,0,0,0,0,0,0,10768,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,12999.2185839778,2002,1823,0,35,0,0,0,0,0,0,1788,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,4006.90794414824,2002,803,303,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,IL,Israel,country,Middle East and North Africa,31.046051,34.851612,4190.61825593179,2002,22,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,3130.65441902308,2002,14350,0,0,0,0,3,7,0,20,14316,0,0,0,4,0,0,0,0,0,0,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,12853.2808045785,2002,137,0,0,0,0,70,35,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,LY,Libya,country,Middle East and North Africa,26.3351,17.228331,2394.22521928283,2002,104,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,LT,Lithuania,country,Europe and Central Asia,55.169438,23.881275,4807.65542363211,2002,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,11561.0240152006,2002,4502,0,0,0,0,0,0,0,0,4502,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,MU,Mauritius,country,Sub-Saharan Africa,-20.348404,57.552152,7935.32258634324,2002,2450,0,0,0,0,0,0,0,0,2450,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,1613.50467349246,2002,565,0,0,0,0,0,0,0,5,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,3932.83821656903,2002,540,0,0,0,0,0,0,0,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,NE,Niger,country,Sub-Saharan Africa,17.607789,8.081666,1281.428431896,2002,438,224,0,0,0,0,0,0,0,0,0,0,7,1,0,206,0,0,0,0,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,NG,Nigeria,country,Sub-Saharan Africa,9.081999,8.675277,1665.08881123685,2002,96,0,0,0,0,0,0,0,0,0,0,0,0,60,0,36,0,0,0,0,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,PK,Pakistan,country,South Asia,30.375321,69.345116,7474.33249881687,2002,479,0,0,0,0,0,0,0,0,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,8355.1160843781,2002,80,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,13182.6072472437,2002,3094,0,0,0,0,0,0,0,0,3094,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,PL,Poland,country,Europe and Central Asia,51.919438,19.145136,4329.67277523935,2002,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,2464.17827784352,2002,5250,0,0,0,0,0,0,0,0,5250,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,12212.8596249316,2002,394,0,0,0,0,0,0,0,0,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
