sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
MN,Mongolia,country,East Asia and Pacific,46.862496,103.846656,AW,Aruba,country,Latin America and the Caribbean,12.52111,-69.968338,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,Mongolia,country,East Asia and Pacific,46.862496,103.846656,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,Mongolia,country,East Asia and Pacific,46.862496,103.846656,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,Mongolia,country,East Asia and Pacific,46.862496,103.846656,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,1997,92,0,0,0,0,0,0,0,0,88,0,0,0,4,0,0,0,0,0,0,0,0,0,0
MN,Mongolia,country,East Asia and Pacific,46.862496,103.846656,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,1997,34,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,Mongolia,country,East Asia and Pacific,46.862496,103.846656,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,1997,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,Mongolia,country,East Asia and Pacific,46.862496,103.846656,CN,China,country,East Asia and Pacific,35.86166,104.195397,1997,26211,0,0,0,0,0,2,2,0,11128,0,4464,0,8,0,3,0,139,0,10465,0,0,0,0
MN,Mongolia,country,East Asia and Pacific,46.862496,103.846656,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,1997,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
MN,Mongolia,country,East Asia and Pacific,46.862496,103.846656,KP,"Korea, Dem. Rep.",country,East Asia and Pacific,40.339852,127.510093,1997,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,Mongolia,country,East Asia and Pacific,46.862496,103.846656,FR,France,country,Europe and Central Asia,46.227638,2.213749,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,Mongolia,country,East Asia and Pacific,46.862496,103.846656,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,1997,128,0,0,0,0,0,0,0,0,13,0,0,0,2,10,102,0,1,0,0,0,0,0,0
MN,Mongolia,country,East Asia and Pacific,46.862496,103.846656,HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,Mongolia,country,East Asia and Pacific,46.862496,103.846656,IN,India,country,South Asia,20.593684,78.96288,1997,361,0,0,0,0,0,0,0,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,Mongolia,country,East Asia and Pacific,46.862496,103.846656,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1997,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,Mongolia,country,East Asia and Pacific,46.862496,103.846656,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1997,147,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,2,0,0,0,0,0,0
MN,Mongolia,country,East Asia and Pacific,46.862496,103.846656,KZ,Kazakhstan,country,Europe and Central Asia,48.019573,66.923684,1997,73,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,44,0,0,0,0,0,0
MN,Mongolia,country,East Asia and Pacific,46.862496,103.846656,KG,Kyrgyz Rep.,country,Europe and Central Asia,41.20438,74.766098,1997,26,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
MN,Mongolia,country,East Asia and Pacific,46.862496,103.846656,NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,Mongolia,country,East Asia and Pacific,46.862496,103.846656,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1997,49,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,19,0,0,0,0,0,0
MN,Mongolia,country,East Asia and Pacific,46.862496,103.846656,PL,Poland,country,Europe and Central Asia,51.919438,19.145136,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,Mongolia,country,East Asia and Pacific,46.862496,103.846656,KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,1997,67,0,0,0,0,0,0,0,0,39,0,0,0,20,0,0,0,1,0,7,0,0,0,0
