sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,CA,Canada,country,North America,56.130366,-106.346771,1986,23,18,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,1986,8492,636,68,674,75,41,22,2316,356,595,12,168,72,460,195,2045,80,306,451,0,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,CN,China,country,East Asia and Pacific,35.86166,104.195397,1986,9368,867,515,87,5,2,2,123,114,4810,5,0,1,108,702,1830,0,8,189,0,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,14,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,1986,282,0,0,0,0,0,0,0,0,0,274,0,0,8,0,0,0,0,0,0,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,US,USA,country,North America,37.09024,-95.712891,1986,911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,911,0,0,0,0,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,CA,Canada,country,North America,56.130366,-106.346771,1987,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,1987,8486,703,17,842,29,38,10,257,382,588,17,248,45,469,215,3891,102,263,421,51,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,CN,China,country,East Asia and Pacific,35.86166,104.195397,1987,14368,2032,567,84,118,0,1,200,144,3636,0,5,3,551,857,6015,0,17,138,0,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1987,11,0,0,0,0,0,0,0,0,5,0,0,1,5,0,0,0,0,0,0,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,1987,163,0,0,0,0,0,0,0,0,0,146,0,0,17,0,0,0,0,0,0,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,1987,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,US,USA,country,North America,37.09024,-95.712891,1987,4091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4091,0,0,0,0,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,1989,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,CA,Canada,country,North America,56.130366,-106.346771,1989,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,1989,7457,355,0,492,102,1,116,156,317,363,2,278,88,1016,78,3581,25,70,389,53,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,CN,China,country,East Asia and Pacific,35.86166,104.195397,1989,12404,1474,0,141,602,0,620,233,448,3144,0,0,10,487,417,4567,0,39,222,0,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1989,33,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1989,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,1989,130,0,0,0,2,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1989,44,0,0,0,0,0,4,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,US,USA,country,North America,37.09024,-95.712891,1989,3293,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3291,0,0,0,0,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,CA,Canada,country,North America,56.130366,-106.346771,1990,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,1990,5073,290,0,364,62,29,117,143,252,401,2,217,738,1092,63,703,5,67,501,32,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,CN,China,country,East Asia and Pacific,35.86166,104.195397,1990,12251,2196,3,473,264,37,121,241,536,4217,0,16,76,665,711,2393,0,43,259,0,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1990,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1990,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,1990,67,0,0,0,0,0,0,0,0,0,65,0,0,0,0,2,0,0,0,0,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,1990,8,1,0,2,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1990,52,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,US,USA,country,North America,37.09024,-95.712891,1990,2466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2466,0,0,0,0,0,0,0,0
