sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
MR,Mauritania,country,Sub-Saharan Africa,21.00789,-10.940835,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,2007,7022,0,0,0,0,0,0,0,0,0,0,6893,0,0,0,0,0,0,0,129,0,0,0,0
MR,Mauritania,country,Sub-Saharan Africa,21.00789,-10.940835,EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,2007,133,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0
MR,Mauritania,country,Sub-Saharan Africa,21.00789,-10.940835,GH,Ghana,country,Sub-Saharan Africa,7.946527,-1.023194,2007,20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
MR,Mauritania,country,Sub-Saharan Africa,21.00789,-10.940835,ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,2007,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
MR,Mauritania,country,Sub-Saharan Africa,21.00789,-10.940835,RU,Russian Federation,country,Europe and Central Asia,61.52401,105.318756,2007,2823,0,0,0,0,0,0,0,0,0,0,2823,0,0,0,0,0,0,0,0,0,0,0,0
MR,Mauritania,country,Sub-Saharan Africa,21.00789,-10.940835,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,2007,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0
MR,Mauritania,country,Sub-Saharan Africa,21.00789,-10.940835,ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,2007,133,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0
MR,Mauritania,country,Sub-Saharan Africa,21.00789,-10.940835,EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,2008,107,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0
MR,Mauritania,country,Sub-Saharan Africa,21.00789,-10.940835,FR,France,country,Europe and Central Asia,46.227638,2.213749,2008,120,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0
MR,Mauritania,country,Sub-Saharan Africa,21.00789,-10.940835,GH,Ghana,country,Sub-Saharan Africa,7.946527,-1.023194,2008,2369,0,0,0,0,0,0,0,0,0,0,2369,0,0,0,0,0,0,0,0,0,0,0,0
MR,Mauritania,country,Sub-Saharan Africa,21.00789,-10.940835,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,2008,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
MR,Mauritania,country,Sub-Saharan Africa,21.00789,-10.940835,ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,2008,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0
