sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
MV,Maldives,country,South Asia,3.202778,73.22068,IN,India,country,South Asia,20.593684,78.96288,2001,34,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
MV,Maldives,country,South Asia,3.202778,73.22068,IN,India,country,South Asia,20.593684,78.96288,2002,45,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0
MV,Maldives,country,South Asia,3.202778,73.22068,SA,Saudi Arabia,country,Middle East and North Africa,23.885942,45.079162,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MV,Maldives,country,South Asia,3.202778,73.22068,LK,Sri Lanka,country,South Asia,7.873054,80.771797,2002,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
MV,Maldives,country,South Asia,3.202778,73.22068,AE,United Arab Emirates,country,Middle East and North Africa,23.424076,53.847818,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MV,Maldives,country,South Asia,3.202778,73.22068,IN,India,country,South Asia,20.593684,78.96288,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MV,Maldives,country,South Asia,3.202778,73.22068,SA,Saudi Arabia,country,Middle East and North Africa,23.885942,45.079162,2003,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
MV,Maldives,country,South Asia,3.202778,73.22068,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,2003,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MV,Maldives,country,South Asia,3.202778,73.22068,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,2004,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
MV,Maldives,country,South Asia,3.202778,73.22068,IN,India,country,South Asia,20.593684,78.96288,2004,35,12,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0
MV,Maldives,country,South Asia,3.202778,73.22068,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,2004,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0
MV,Maldives,country,South Asia,3.202778,73.22068,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,2004,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
MV,Maldives,country,South Asia,3.202778,73.22068,SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,2004,42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,41,0,0,0,0,0,0,0,0
MV,Maldives,country,South Asia,3.202778,73.22068,LK,Sri Lanka,country,South Asia,7.873054,80.771797,2004,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0
MV,Maldives,country,South Asia,3.202778,73.22068,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,2004,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MV,Maldives,country,South Asia,3.202778,73.22068,AE,United Arab Emirates,country,Middle East and North Africa,23.424076,53.847818,2004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MV,Maldives,country,South Asia,3.202778,73.22068,GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,2004,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
MV,Maldives,country,South Asia,3.202778,73.22068,US,USA,country,North America,37.09024,-95.712891,2004,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
MV,Maldives,country,South Asia,3.202778,73.22068,IN,India,country,South Asia,20.593684,78.96288,2005,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
MV,Maldives,country,South Asia,3.202778,73.22068,SA,Saudi Arabia,country,Middle East and North Africa,23.885942,45.079162,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MV,Maldives,country,South Asia,3.202778,73.22068,LK,Sri Lanka,country,South Asia,7.873054,80.771797,2005,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
