sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
NE,Niger,country,Sub-Saharan Africa,17.607789,8.081666,DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,2001,321,50,0,0,0,0,32,122,115,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
NE,Niger,country,Sub-Saharan Africa,17.607789,8.081666,BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,2001,1124,0,0,0,0,0,0,1119,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0
NE,Niger,country,Sub-Saharan Africa,17.607789,8.081666,BF,Burkina Faso,country,Sub-Saharan Africa,12.238333,-1.561593,2001,2226,0,0,14,0,0,88,1888,0,0,7,0,0,131,0,0,0,0,91,7,0,0,0,0
NE,Niger,country,Sub-Saharan Africa,17.607789,8.081666,TD,Chad,country,Sub-Saharan Africa,15.454166,18.732207,2001,698,25,0,610,0,3,1,3,0,0,2,0,44,0,10,0,0,0,0,0,0,0,0,0
NE,Niger,country,Sub-Saharan Africa,17.607789,8.081666,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,2001,14237,0,0,0,93,0,0,14088,13,0,8,35,0,0,0,0,0,0,0,0,0,0,0,0
NE,Niger,country,Sub-Saharan Africa,17.607789,8.081666,FR,France,country,Europe and Central Asia,46.227638,2.213749,2001,36,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NE,Niger,country,Sub-Saharan Africa,17.607789,8.081666,GH,Ghana,country,Sub-Saharan Africa,7.946527,-1.023194,2001,8357,0,0,0,2395,0,151,5811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,Niger,country,Sub-Saharan Africa,17.607789,8.081666,IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,2001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,Niger,country,Sub-Saharan Africa,17.607789,8.081666,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,Niger,country,Sub-Saharan Africa,17.607789,8.081666,LY,Libya,country,Middle East and North Africa,26.3351,17.228331,2001,38,0,0,0,0,0,13,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,Niger,country,Sub-Saharan Africa,17.607789,8.081666,ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,2001,201,11,0,0,18,0,15,151,0,0,1,0,0,2,0,0,0,0,0,3,0,0,0,0
NE,Niger,country,Sub-Saharan Africa,17.607789,8.081666,MU,Mauritius,country,Sub-Saharan Africa,-20.348404,57.552152,2001,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,Niger,country,Sub-Saharan Africa,17.607789,8.081666,NG,Nigeria,country,Sub-Saharan Africa,9.081999,8.675277,2001,36180,150,0,536,2446,38,985,24394,2729,254,1392,6,16,2449,7,19,0,16,142,601,0,0,0,0
NE,Niger,country,Sub-Saharan Africa,17.607789,8.081666,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,2001,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
